"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut"
"Entremont-le-Vieux";"Elem";"ce.0730098k@ac-grenoble.fr";"73670";"Ecole primaire";"Savoie";"1190 Route Du Granier, Le Bourg";"Public"
"Cognin";"Mater";"ce.0730122l@ac-grenoble.fr";"73160";"Ecole maternelle Pasteur";"Savoie";"2 Rue Des Ecoles";"Public"
"Motz";"Elem";"ce.0730169m@ac-grenoble.fr";"73310";"Ecole élémentaire Motz";"Savoie";"Lieu-Dit Chef Lieu";"Public"
"Serrières-en-Chautagne";"Elem";"ce.0730170n@ac-grenoble.fr";"73310";"Ecole élémentaire";"Savoie";"Lieu-Dit La Lechere";"Public"
"Vions";"Elem";"ce.0730173s@ac-grenoble.fr";"73310";"Ecole élémentaire";"Savoie";"Lieu-Dit Chef Lieu";"Public"
"Billième";"Elem";"ce.0730191l@ac-grenoble.fr";"73170";"Ecole élémentaire publique";"Savoie";"631 Route De La Charvaz";"Public"
"Méry";"Elem";"ce.0730235j@ac-grenoble.fr";"73420";"Ecole primaire";"Savoie";"Rue De L'Eglise";"Public"
"Trévignin";"Elem";"ce.0730244u@ac-grenoble.fr";"73100";"Ecole primaire publique";"Savoie";"Lieu-Dit Chef-Lieu";"Public"
"Châteauneuf";"Elem";"ce.0730289t@ac-grenoble.fr";"73390";"Ecole élémentaire Maltaverne";"Savoie";"Lieu-Dit 215 Route Royale, Maltaverne";"Public"
"Arith";"Elem";"ce.0730301f@ac-grenoble.fr";"73340";"Ecole élémentaire";"Savoie";"Lieu-Dit Bourchigny Haut";"Public"
"Planaise";"Elem";"ce.0730325g@ac-grenoble.fr";"73800";"Ecole primaire";"Savoie";"Lieu-Dit Le Turchet, Chef Lieu";"Public"
"Césarches";"Elem";"ce.0730398l@ac-grenoble.fr";"73200";"Ecole élémentaire";"Savoie";"Lieu-Dit La Bruyère";"Public"
"Albertville";"Elem";"ce.0730413c@ac-grenoble.fr";"73200";"Ecole primaire Pargoud";"Savoie";"3 Rue Pargoud";"Public"
"Rognaix";"Elem";"ce.0730419j@ac-grenoble.fr";"73730";"Ecole élémentaire";"Savoie";"447 Rue De La Mairie, La Ville";"Public"
"Verrens-Arvey";"Elem";"ce.0730466k@ac-grenoble.fr";"73460";"Ecole primaire";"Savoie";"Lieu-Dit Chef Lieu";"Public"
"Bessans";"Elem";"ce.0730468m@ac-grenoble.fr";"73480";"Ecole élémentaire Félicie Pautas";"Savoie";"Place De La Mairie";"Public"
"Val-Cenis";"Elem";"ce.0730473t@ac-grenoble.fr";"73500";"Ecole élémentaire";"Savoie";"Place Des Archers, Lanslevillard";"Public"
"Val-Cenis";"Elem";"ce.0730474u@ac-grenoble.fr";"73480";"Ecole élémentaire";"Savoie";"Place De La Mairie, Sollieres Sardiere";"Public"
"Aussois";"Elem";"ce.0730482c@ac-grenoble.fr";"73500";"Ecole primaire";"Savoie";"4 Place Des Chantres";"Public"
