"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut"
"Chalon-sur-Saône";"Elem";"ce.0711711z@ac-dijon.fr";"71100";"Ecole primaire Bourgogne-Pierre Vaux";"Saône-et-Loire";"4 Rue Léon Mauris";"Public"
"Tournus";"Elem";"ce.0711712a@ac-dijon.fr";"71700";"Ecole primaire";"Saône-et-Loire";"Rue Raymond Dorey";"Public"
"Grury";"Elem";"ce.0711722l@ac-dijon.fr";"71760";"Ecole primaire";"Saône-et-Loire";"19 Bis Rue Du 11 Novembre";"Public"
"Chagny";"Elem";"ce.0711728t@ac-dijon.fr";"71150";"Ecole primaire Etienne Jules Marey";"Saône-et-Loire";"Rue Du 6 Septembre 1944";"Public"
"La Chapelle-sous-Dun";"Mater";"ce.0711793n@ac-dijon.fr";"71800";"Ecole maternelle";"Saône-et-Loire";"191 Rue De L'Eglise";"Public"
"Le Creusot";"Elem";"ce.0711803z@ac-dijon.fr";"71200";"Ecole élémentaire Est";"Saône-et-Loire";"33 Rue Victor Hugo";"Public"
"Lessard-en-Bresse";"Elem";"ce.0711810g@ac-dijon.fr";"71440";"ECOLE PRIMAIRE PUBLIQUE";"Saône-et-Loire";"3 Impasse De L'École, Le Bourg";"Public"
"Saint-Symphorien-des-Bois";"Elem";"ce.0711820t@ac-dijon.fr";"71800";"Ecole primaire";"Saône-et-Loire";"158  Route D'Amanze, Le Bourg";"Public"
"Chalon-sur-Saône";"Elem";"ce.0711864r@ac-dijon.fr";"71100";"Ecole Primaire Louis Lechère";"Saône-et-Loire";"26 Avenue Victor Hugo";"Public"
"Dracy-le-Fort";"Elem";"ce.0711875c@ac-dijon.fr";"71640";"ECOLE PRIMAIRE PUBLIQUE";"Saône-et-Loire";"2 Rue Des Crays, Les Crays";"Public"
"Epinac";"Elem";"ce.0711887r@ac-dijon.fr";"71360";"GROUPE SCOLAIRE DE LA VERRERIE";"Saône-et-Loire";"19 Rue Jean Bouveri";"Public"
"Sagy";"Elem";"ce.0711888s@ac-dijon.fr";"71580";"ECOLE PRIMAIRE";"Saône-et-Loire";"4 Place De La Poste, Le Bourg";"Public"
