"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Concarneau";"Elem";"ec.0290361k@ac-rennes.fr";"29900";"Ecole élémentaire publique Beuzec Conq";"Finistère";"6 Rue De Garlodic";"Public";"47.888171138835276";"-3.90079006800359"
"Concarneau";"Elem";"ec.0290365p@ac-rennes.fr";"29900";"Ecole primaire publique Keramporiel";"Finistère";"17 Rue Des Grillons";"Public";"47.90112017066767";"-3.9148306701477655"
"Concarneau";"Elem";"ec.0290367s@ac-rennes.fr";"29900";"Ecole primaire publique Kerandon";"Finistère";"1 Avenue Du Saule";"Public";"47.88332585651416";"-3.918980365044669"
"Concarneau";"Elem";"ec.0290368t@ac-rennes.fr";"29900";"Ecole primaire publique Lanriec";"Finistère";"182 Rue De Lanriec";"Public";"47.86851032809935";"-3.88557958694573"
"Quimper";"Elem";"ec.0290405h@ac-rennes.fr";"29000";"Ecole primaire publique Jean Monnet";"Finistère";"10  Rue De Rosmadec";"Public";"47.99415219208247";"-4.118470483661914"
"Quimper";"Elem";"ec.0290410n@ac-rennes.fr";"29000";"Ecole primaire publique Yves Le Manchec";"Finistère";"75 Rue De La Terre Noire";"Public";"47.99812684580982";"-4.126139709901604"
"Douarnenez";"Elem";"ec.0290432m@ac-rennes.fr";"29100";"Ecole élémentaire publique Marie Curie";"Finistère";"3 Rue De L'Hôpital";"Public";"48.09187498329073";"-4.327119785877136"
"Douarnenez";"Elem";"ec.0290437t@ac-rennes.fr";"29100";"Ecole primaire publique Jules Verne";"Finistère";"Rue Jules Verne";"Public";"48.09258639588428";"-4.3397468612316805"
"Coray";"Elem";"ec.0290443z@ac-rennes.fr";"29370";"Ecole primaire publique Leurgadoret";"Finistère";"Chemin De Leurgadoret";"Public";"48.062020646030035";"-3.833759847397008"
"Leuhan";"Elem";"ec.0290445b@ac-rennes.fr";"29390";"Ecole primaire publique de Leuhan";"Finistère";"6 Rue De L'Ecole";"Public";"48.098099216009985";"-3.784780521970124"
"Le Relecq-Kerhuon";"Mater";"ec.0290507u@ac-rennes.fr";"29480";"Ecole maternelle publique Jean Moulin";"Finistère";"Rue Jean Moulin";"Public";"48.40955332450276";"-4.395709724244804"
"Pont-l'Abbé";"Mater";"ec.0290556x@ac-rennes.fr";"29120";"Ecole maternelle publique Kerarthur";"Finistère";"Rue Du Penquer";"Public";"47.865073269598746";"-4.216230027751803"
"Rosporden";"Mater";"ec.0290575t@ac-rennes.fr";"29140";"Ecole maternelle publique Ernest Renan";"Finistère";"42 Rue Ernest Renan";"Public";"47.96170467756704";"-3.83337060110631"
"Le Cloître-Pleyben";"Elem";"ec.0290578w@ac-rennes.fr";"29190";"Ecole primaire publique des Lutins";"Finistère";"13 Rue De La Mairie";"Public";"48.25701788852936";"-3.8904405443318786"
"Lothey";"Elem";"ec.0290583b@ac-rennes.fr";"29190";"Ecole primaire publique de Lothey";"Finistère";"9 Rue De L'Ecole";"Public";"48.180739016073794";"-4.026899361537318"
"Cléden-Poher";"Elem";"ec.0290593m@ac-rennes.fr";"29270";"Ecole primaire publique Per Jakez Hélias";"Finistère";"11 Route De Pont Gonan";"Public";"48.23491765893707";"-3.6708895390229475"
"Kergloff";"Elem";"ec.0290594n@ac-rennes.fr";"29270";"Ecole primaire publique Anjela Duval";"Finistère";"Rue Jules Ferry";"Public";"48.27421858809321";"-3.6193100604925625"
"Cast";"Elem";"ec.0290622u@ac-rennes.fr";"29150";"Ecole Primaire publique Les mille couleurs";"Finistère";"Rue D'Ys";"Public";"48.15560373503477";"-4.140670148805711"
"Locronan";"Elem";"ec.0290627z@ac-rennes.fr";"29180";"Ecole primaire publique Anne de Bretagne";"Finistère";"Venelle Toul Prichen";"Public";"48.09863817995594";"-4.209080230626423"
"Plonévez-Porzay";"Elem";"ec.0290631d@ac-rennes.fr";"29550";"Ecole primaire publique de Plonévez-Porzay";"Finistère";"Rue Des Eglantines";"Public";"48.1257829099095";"-4.224140222283982"
"Gouesnach";"Elem";"ec.0290695y@ac-rennes.fr";"29950";"Ecole primaire publique de l'Odet";"Finistère";"5 Rue Hent Reuniou";"Public";"47.911822314319316";"-4.1135106741849885"
"Combrit";"Elem";"ec.0290702f@ac-rennes.fr";"29120";"Ecole primaire publique Sainte-Marine";"Finistère";"54 Rue De L'Odet";"Public";"47.87372368674301";"-4.125270305681195"
"Guilvinec";"Elem";"ec.0290704h@ac-rennes.fr";"29730";"Ecole primaire publique Jean Le Brun";"Finistère";"Rue Du Château";"Public";"47.79932245747561";"-4.285619957572342"
"Penmarch";"Elem";"ec.0290711r@ac-rennes.fr";"29760";"Ecole primaire publique Auguste Dupouy";"Finistère";"Rue Mathurin Méheut";"Public";"47.810060837369946";"-4.340379699625501"
"Plobannalec-Lesconil";"Elem";"ec.0290719z@ac-rennes.fr";"29740";"Ecole primaire publique Docteur Fleming";"Finistère";"8 Rue Du Docteur Fleming";"Public";"47.795578244017754";"-4.2175795788028605"
"Melgven";"Elem";"ec.0290742z@ac-rennes.fr";"29140";"Ecole primaire publique Cadol";"Finistère";"62 Hameau De Cadol";"Public";"47.93981929674269";"-3.8558298726270213"
"Ile-de-Sein";"Elem";"ec.0290770e@ac-rennes.fr";"29990";"Ecole primaire publique de l'Ile de Sein";"Finistère";"10 Rue Fernand Crouton";"Public";"48.03725633934324";"-4.851259543959852"
"Gourlizon";"Elem";"ec.0290771f@ac-rennes.fr";"29710";"Ecole primaire publique Léon Goraguer";"Finistère";"Route De Plogastel";"Public";"48.019329641938995";"-4.265570237862491"
"Peumerit";"Elem";"ec.0290773h@ac-rennes.fr";"29710";"Ecole primaire publique Les Trois Pommiers";"Finistère";"Route De Plogastel";"Public";"47.94082493841534";"-4.309590040075907"
"Ergué-Gabéric";"Elem";"ec.0290785w@ac-rennes.fr";"29500";"Ecole élémentaire publique Lestonan";"Finistère";"Hameau De Lestonan";"Public";"48.018678007866484";"-4.021610025398312"
"Ergué-Gabéric";"Elem";"ec.0290786x@ac-rennes.fr";"29500";"Ecole primaire publique Lestonan";"Finistère";"1 Rue Du Menez";"Public";"48.01889606366955";"-4.022480659268507"
"Quimper";"Elem";"ec.0290788z@ac-rennes.fr";"29000";"Ecole primaire publique Léon Blum";"Finistère";"9 Avenue Léon Blum";"Public";"47.98452421234748";"-4.074969720833914"
"Brest";"Elem";"ec.0290809x@ac-rennes.fr";"29200";"Ecole primaire publique Jacquard";"Finistère";"11 Rue Jacquard";"Public";"48.403061504808996";"-4.4772795200255375"
