"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Bastia";"Elem";"ce.7200407e@ac-corse.fr";"20600";"Ecole élémentaire Campanari Bastia";"Haute-Corse";"10  Rue Saint Joseph";"Public";"42.6911494070688";"9.448112323808703"
"Porto-Vecchio";"Elem";"ce.6200120l@ac-corse.fr";"20137";"Ecole élémentaire  Bilingue Joseph Pietri 1 Porto Vecchio";"Corse-du-Sud";"Rue Pasteur";"Public";"41.59301222303818";"9.281572291028901"
"Levie";"Elem";"ce.6200096k@ac-corse.fr";"20170";"Ecole primaire Bilingue Lévie";"Corse-du-Sud";"Levie";"Public";"41.700027343526735";"9.124599933615706"
"Propriano";"Elem";"ce.6200108y@ac-corse.fr";"20110";"Ecole élémentaire Bilingue Propriano";"Corse-du-Sud";"11 Rue Jean Donat Léandri";"Public";"41.67561026984064";"8.907086261717083"
"Porto-Vecchio";"Mater";"ce.6200119k@ac-corse.fr";"20137";"Ecole maternelle Bilingue Jean Santini Porto Vecchio";"Corse-du-Sud";"Rue Fontana Vecchia";"Public";"41.5891303513444";"9.27865341695942"
"Porto-Vecchio";"Elem";"ce.6200121m@ac-corse.fr";"20137";"Ecole élémentaire Bilingue M. et T. Marcellesi Porto Vecchio 2";"Corse-du-Sud";"4 Rue Saint Vincent";"Public";"41.58871417197172";"9.2775689084619"
"Porto-Vecchio";"Elem";"ce.6200126t@ac-corse.fr";"20137";"Ecole primaire Bilingue de Muratello";"Corse-du-Sud";"Hameau De Muratello";"Public";"41.59229725909089";"9.213080535178223"
"Monacia-d'Aullène";"Elem";"ce.6200134b@ac-corse.fr";"20171";"Ecole primaire Bilingue Monaccia d'Aullène";"Corse-du-Sud";"Monaccia D'Aullene";"Public";"41.51690389149646";"9.017090299126242"
"Serra-di-Scopamène";"Mater";"ce.6200138f@ac-corse.fr";"20127";"Ecole maternelle Bilingue  Serra di Scopamène";"Corse-du-Sud";"Serra Di Scopamene";"Public";"41.75405369841404";"9.100870277979645"
"Alata";"Elem";"ce.6200180b@ac-corse.fr";"20167";"Ecole primaire Pruno";"Corse-du-Sud";"Col Du Pruno";"Public";"41.96132012356181";"8.727689465230073"
"Alata";"Mater";"ce.6200195t@ac-corse.fr";"20167";"Ecole maternelle Pruno Alata";"Corse-du-Sud";"Col Du Pruno";"Public";"41.961204633626046";"8.727709600112114"
"Ajaccio";"Elem";"ce.6200395k@ac-corse.fr";"20090";"Ecole primaire Jérôme Santarelli Candia Ajaccio";"Corse-du-Sud";"Chemin Candia";"Public";"41.93647784278023";"8.747218241675267"
"Sari-d'Orcino";"Elem";"ce.6200472u@ac-corse.fr";"20151";"Ecole primaire bilingue Sari d'Orcino";"Corse-du-Sud";"Sari D'Orcino";"Public";"42.06181265244884";"8.825819749150442"
"Tavera";"Elem";"ce.6200491p@ac-corse.fr";"20163";"Ecole primaire Tavera";"Corse-du-Sud";"Tavera";"Public";"42.0685122192049";"9.015420439127944"
"Porto-Vecchio";"Elem";"ce.6200726v@ac-corse.fr";"20137";"école PR Sainte Dévote Porto Vecchio";"Corse-du-Sud";"00 Rue Saint Vincent, Maison Paroissiale";"Privé";"41.58887642372864";"9.277205748969273"
"Rezza";"Elem";"ce.6200765m@ac-corse.fr";"20121";"ECOLE PRIMAIRE BILINGUE REZZA";"Corse-du-Sud";"00 Village Rezza";"Public";"";""
"Ajaccio";"Elem";"ce.6200766n@ac-corse.fr";"20000";"Ecole académique GPDF LCC";"Corse-du-Sud";"01 Boulevard Pugliesi Conti";"Public";"41.91318514947938";"8.72616267738344"
"Borgo";"Mater";"ce.7200032x@ac-corse.fr";"20290";"Ecole maternelle Revinco D. Antoniotti Borgo";"Haute-Corse";"Hameau De Revinco";"Public";"42.56069523844556";"9.445349809857568"
"L'Ile-Rousse";"Elem";"ce.7200061d@ac-corse.fr";"20220";"Ecole maternelle privée Notre-Dame Ile Rousse";"Haute-Corse";"1 Place Paoli";"Privé";"42.63400533781628";"8.93947680811086"
"Ortiporio";"Elem";"ce.7200094p@ac-corse.fr";"20290";"Ecole élémentaire Ortiporio";"Haute-Corse";"Village";"Public";"42.45734894408485";"9.343600268109624"
"Aléria";"Mater";"ce.7200096s@ac-corse.fr";"20270";"Ecole maternelle Lustincone Aleria";"Haute-Corse";"17 Avenue De Diane, Stagnale";"Public";"42.116975794061666";"9.516348314568976"
"Sisco";"Elem";"ce.7200149z@ac-corse.fr";"20233";"Ecole primaire Sisco";"Haute-Corse";"Marine";"Public";"42.80839397825767";"9.485890372546079"
"Bastia";"Elem";"ce.7200168v@ac-corse.fr";"20200";"Ecole élementaire Georges Charpack bilingue LCC";"Haute-Corse";"Quartier Toga, Port De Toga";"Public";"42.7063799534461";"9.450080146773969"
"Oletta";"Elem";"ce.7200169w@ac-corse.fr";"20232";"Ecole primaire Oletta";"Haute-Corse";"Village";"Public";"42.63226882446139";"9.357929824363094"
"Calenzana";"Elem";"ce.7200200e@ac-corse.fr";"20214";"Ecole élémentaire J.Balestrini Calenzana";"Haute-Corse";"Quartier Villanova";"Public";"42.506600721750445";"8.858759638014451"
"Montegrosso";"Elem";"ce.7200207m@ac-corse.fr";"20214";"Ecole primaire Montemaggiore";"Haute-Corse";"Quartier Costa, Cassano Village";"Public";"42.53683644161462";"8.886829662456629"
"Calvi";"Mater";"ce.7200211s@ac-corse.fr";"20260";"Ecole maternelle Calvi";"Haute-Corse";"24 Route De Santore";"Public";"42.56050242323602";"8.753809526776736"
"Rutali";"Elem";"ce.7200236u@ac-corse.fr";"20239";"Ecole élémentaire Rutali";"Haute-Corse";"Village";"Public";"42.57935193932455";"9.359380591212858"
"San-Nicolao";"Elem";"ce.7200269e@ac-corse.fr";"20230";"Ecole élémentaire  San nicolao Moriani Plage bilingue LCC";"Haute-Corse";"Prato";"Public";"42.37078718831105";"9.52329997088837"
"Pietroso";"Mater";"ce.7200301p@ac-corse.fr";"20242";"Ecole maternelle Pietroso";"Haute-Corse";"Maison Pieraggi";"Public";"42.093581400189095";"9.367450317237017"
"San-Giuliano";"Elem";"ce.7200343k@ac-corse.fr";"20230";"Ecole élémentaire Gracieuse CHIARARELLI San Giuliano bilingue LCC";"Haute-Corse";"Alistro";"Public";"42.285989698403";"9.518368430215665"
"Venzolasca";"Elem";"ce.7200362f@ac-corse.fr";"20215";"Ecole élémentaire Venzolasca Village";"Haute-Corse";"Village Rn 198, Vignarella";"Public";"42.48538737862288";"9.455359722106266"
