"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Troyes";"Mater";"ce.0101124t@ac-reims.fr";"10000";"Ecole Primaire privée Blanchefleur-Perceval";"Aube";"147 Avenue Pierre Brossolette";"Privé";"48.28695575912454";"4.07745062038819"
"Juniville";"Elem";"ce.0080476z@ac-reims.fr";"08310";"Ecole primaire Paul Verlaine";"Ardennes";"34 Rue Chanteraine";"Public";"49.397560589350185";"4.378510571198232"
"Coucy";"Mater";"ce.0080957x@ac-reims.fr";"08300";"Ecole maternelle Coucy 2ème section";"Ardennes";"2 Rue De L'Ecole";"Public";"49.52034446920831";"4.474289603917539"
"Tagnon";"Elem";"ce.0081173g@ac-reims.fr";"08300";"Pôle scolaire primaire de TAGNON";"Ardennes";"6 Rue Gabriel Davenne";"Public";"49.4439624084505";"4.28860383579761"
"Dorlisheim";"Mater";"ce.0670195y@ac-strasbourg.fr";"67120";"Ecole maternelle Ettore Bugatti";"Bas-Rhin";"2 A Rue Ettore Bugatti";"Public";"48.5230554154043";"7.481803244899069"
"Geispolsheim";"Mater";"ce.0670203g@ac-strasbourg.fr";"67118";"Ecole maternelle Les Coquelicots";"Bas-Rhin";"10 Rue De L'Ecole";"Public";"48.51347912233605";"7.641711439026662"
"Geispolsheim";"Mater";"ce.0670204h@ac-strasbourg.fr";"67118";"Ecole maternelle Le Petit Prince";"Bas-Rhin";"1 Rue Hector Berlioz";"Public";"48.52201721449616";"7.678313406885929"
"Still";"Mater";"ce.0670216w@ac-strasbourg.fr";"67190";"Ecole maternelle";"Bas-Rhin";"8 Rue De La Forêt";"Public";"48.54877728320023";"7.40066255561354"
"Niedernai";"Mater";"ce.0670217x@ac-strasbourg.fr";"67210";"Ecole maternelle";"Bas-Rhin";"9 Rue Du Château";"Public";"48.45155793596192";"7.516142222743239"
"Benfeld";"Mater";"ce.0670230l@ac-strasbourg.fr";"67230";"Ecole maternelle Centre";"Bas-Rhin";"4 Rue Du Rempart";"Public";"48.37020792314748";"7.597237723292497"
"Bischoffsheim";"Mater";"ce.0670231m@ac-strasbourg.fr";"67870";"Ecole maternelle Le Castel";"Bas-Rhin";"5 A Rue Du Castel";"Public";"48.48672469163813";"7.494117652568326"
"Illkirch-Graffenstaden";"Mater";"ce.0670256p@ac-strasbourg.fr";"67400";"Ecole maternelle Nord";"Bas-Rhin";"4 Route Burkel";"Public";"48.5315717749548";"7.719543562708328"
"Strasbourg";"Mater";"ce.0670270e@ac-strasbourg.fr";"67000";"Ecole maternelle Jacques Sturm";"Bas-Rhin";"9 Rue D'Upsal";"Public";"48.57789109123863";"7.777836574571613"
"Strasbourg";"Mater";"ce.0670285w@ac-strasbourg.fr";"67100";"Ecole maternelle Canardière";"Bas-Rhin";"12 Avenue De Normandie";"Public";"48.54941267144363";"7.7529174081770105"
"Strasbourg";"Mater";"ce.0670290b@ac-strasbourg.fr";"67100";"Ecole maternelle Musau";"Bas-Rhin";"78 Avenue Jean Jaurès";"Public";"48.56824968157556";"7.767280347908421"
"Strasbourg";"Mater";"ce.0670297j@ac-strasbourg.fr";"67100";"Ecole maternelle Stockfeld";"Bas-Rhin";"1 Rue Du Loriot";"Public";"48.52929391399912";"7.770166455248952"
"Strasbourg";"Mater";"ce.0670298k@ac-strasbourg.fr";"67100";"Ecole maternelle Ziegelau";"Bas-Rhin";"56 Rue De La Grossau";"Public";"48.56426140160958";"7.763158864295205"
"Hochfelden";"Mater";"ce.0670310y@ac-strasbourg.fr";"67270";"Ecole maternelle";"Bas-Rhin";"2 Rue De L'Abbé Weisrock";"Public";"48.75870896984766";"7.5715883174213285"
"Schiltigheim";"Mater";"ce.0670329u@ac-strasbourg.fr";"67300";"Ecole maternelle Parc du Château";"Bas-Rhin";"20 Square Du Château";"Public";"48.60229631730651";"7.7504507069193425"
"Bischwiller";"Mater";"ce.0670334z@ac-strasbourg.fr";"67240";"Ecole maternelle Rebgarten";"Bas-Rhin";"9 Rue Des Pins";"Public";"48.75588646393653";"7.855149770585856"
"Haguenau";"Mater";"ce.0670343j@ac-strasbourg.fr";"67500";"Ecole maternelle Belle Vue";"Bas-Rhin";"3 Route De Wintershouse";"Public";"48.808299372496535";"7.775713406904026"
"Haguenau";"Mater";"ce.0670347n@ac-strasbourg.fr";"67500";"Ecole maternelle Saint Nicolas";"Bas-Rhin";"4 Rue Des Roses";"Public";"48.818274816319914";"7.789831292376257"
"Niederlauterbach";"Mater";"ce.0670360c@ac-strasbourg.fr";"67630";"Ecole maternelle";"Bas-Rhin";"16 Rue De L'Ecole";"Public";"48.97241499545666";"8.099617531673376"
"Strasbourg";"Elem";"ce.0670383c@ac-strasbourg.fr";"67100";"Ecole primaire Guynemer 1";"Bas-Rhin";"11 Rue D'Argenton";"Public";"48.55071614900892";"7.769973356848929"
"Strasbourg";"Elem";"ce.0670402y@ac-strasbourg.fr";"67000";"Ecole primaire Saint Thomas";"Bas-Rhin";"2 Rue De La Monnaie";"Public";"48.5799811432908";"7.743948526759617"
"Burbach";"Elem";"ce.0670470x@ac-strasbourg.fr";"67260";"Ecole primaire";"Bas-Rhin";"4 Place Du Tilleul";"Public";"48.901409661496224";"7.112453173007313"
"Bust";"Elem";"ce.0670471y@ac-strasbourg.fr";"67320";"Ecole primaire";"Bas-Rhin";"1 Rue De La Gare";"Public";"48.82942964011207";"7.235032664818862"
"Diemeringen";"Elem";"ce.0670472z@ac-strasbourg.fr";"67430";"Ecole primaire";"Bas-Rhin";"10 Quai De L'Eichel";"Public";"48.94162948553585";"7.188339887995809"
"Hirschland";"Elem";"ce.0670479g@ac-strasbourg.fr";"67320";"Ecole primaire";"Bas-Rhin";"21 Rue De La Poste";"Public";"48.83726043950591";"7.112265799125507"
"Waldhambach";"Elem";"ce.0670490u@ac-strasbourg.fr";"67430";"Ecole primaire";"Bas-Rhin";"2 Rue De L'Ecole";"Public";"48.92693465204078";"7.219169967034899"
"Weyer";"Elem";"ce.0670494y@ac-strasbourg.fr";"67320";"Ecole primaire";"Bas-Rhin";"4 Rue Des Ecoles";"Public";"48.85417445524235";"7.159489680941618"
