"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Vieux-Fort";"Elem";"ce.9710098e@ac-guadeloupe.fr";"97141";"Ecole primaire Auguste Feler";"Guadeloupe";"Bourg";"Public";"15.948850345979483";"-61.70130954472522"
"Sainte-Rose";"Mater";"ce.9710151m@ac-guadeloupe.fr";"97115";"Ecole maternelle Bourg 1 Ste-Rose";"Guadeloupe";"Rue Grignan - Bourg";"Public";"16.331958450586736";"-61.698972037754515"
"Saint-François";"Mater";"ce.9710153p@ac-guadeloupe.fr";"97118";"Ecole maternelle Olga Capro-Jeanville";"Guadeloupe";"Rue Jules Ferry";"Public";"16.25396307770378";"-61.27477155335423"
"Deshaies";"Elem";"ce.9710158v@ac-guadeloupe.fr";"97126";"Ecole primaire Beaujour Agénor";"Guadeloupe";"Allée Du C?Ur Cafeiere";"Public";"16.32597909255513";"-61.777479656316196"
"Les Abymes";"Elem";"ce.9710168f@ac-guadeloupe.fr";"97139";"Ecole élémentaire Louis Delgrès";"Guadeloupe";"Boulevard Des Heros";"Public";"16.255613648383896";"-61.520854918349386"
"Baillif";"Elem";"ce.9710180u@ac-guadeloupe.fr";"97123";"Ecole primaire Saint-Robert";"Guadeloupe";"Saint Robert";"Public";"16.04656566932843";"-61.73086990426844"
"Saint-François";"Elem";"ce.9710211c@ac-guadeloupe.fr";"97118";"Ecole primaire Angèle NAYAGOM-EPITER";"Guadeloupe";"Dubedou";"Public";"16.296812633004087";"-61.28702042493964"
"Saint-François";"Elem";"ce.9710215g@ac-guadeloupe.fr";"97118";"Ecole élémentaire Christophe Proto";"Guadeloupe";"Rue Louis Theleme";"Public";"16.252131568629313";"-61.27691013126135"
"Saint-François";"Elem";"ce.9710218k@ac-guadeloupe.fr";"97118";"Ecole élémentaire Bois de Vipart";"Guadeloupe";"Bois De Vipart";"Public";"16.273772575759228";"-61.33135984297899"
"Grand-Bourg";"Elem";"ce.9710224s@ac-guadeloupe.fr";"97112";"Ecole élémentaire Marie-Antoinette Cellon";"Guadeloupe";"Rue Des Sabliers De Joinville";"Public";"15.880036191637238";"-61.31042399993151"
"Petit-Bourg";"Elem";"ce.9710257c@ac-guadeloupe.fr";"97170";"Ecole primaire Maurice Chovino";"Guadeloupe";"Rue Volcy Bastard";"Public";"16.191400294054475";"-61.591677964879366"
"Sainte-Anne";"Elem";"ce.9710269r@ac-guadeloupe.fr";"97180";"Ecole primaire Richard Pierrot";"Guadeloupe";"Chateaubrun";"Public";"16.25224426584346";"-61.35195995470767"
"Trois-Rivières";"Elem";"ce.9710312m@ac-guadeloupe.fr";"97114";"Ecole élémentaire Schoelcher";"Guadeloupe";"Schoelcher";"Public";"15.982848246396143";"-61.63002973999752"
"Goyave";"Elem";"ce.9710369z@ac-guadeloupe.fr";"97128";"Groupe scolaire de Bois-Sec";"Guadeloupe";"Route De Moreau, Bois Sec";"Public";"16.13065816342901";"-61.574149988468996"
"Pointe-à-Pitre";"Mater";"ce.9710426l@ac-guadeloupe.fr";"97110";"Ecole maternelle Bébian";"Guadeloupe";"Rue Angle Bébian - Alsace Lorraine, Rues Alsace Lorraine Et";"Public";"16.23831965387517";"-61.53301767980311"
"Lamentin";"Mater";"ce.9710430r@ac-guadeloupe.fr";"97129";"Ecole maternelle Blanche Pierre";"Guadeloupe";"La Roziere";"Public";"16.238792418713594";"-61.654170373171105"
"Pointe-à-Pitre";"Mater";"ce.9710442d@ac-guadeloupe.fr";"97110";"Ecole maternelle privée Notre-Dame du Sacré-Coeur";"Guadeloupe";"23 Rue Léonie Melas";"Privé";"16.239660434596644";"-61.53256617689478"
"Bouillante";"Mater";"ce.9710488d@ac-guadeloupe.fr";"97125";"Ecole maternelle Bourg Bouillante";"Guadeloupe";"Le Bourg";"Public";"16.10722786685036";"-61.77131667822544"
