"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Remire-Montjoly";"Elem";"ce.9730032x@ac-guyane.fr";"97354";"Ecole élémentaire Jules Minidoque";"Guyane";"16 Rue Victor Ceide";"Public";"4.886308445649282";"-52.27770543119377"
"Cayenne";"Mater";"ce.9730033y@ac-guyane.fr";"97300";"Ecole maternelle Dorville Léonco";"Guyane";"4 Rue Pichevin";"Public";"4.942134315891961";"-52.325556259236656"
"Cayenne";"Elem";"ce.9730052u@ac-guyane.fr";"97300";"Ecole élémentaire René Barthélemi";"Guyane";"42 Bis Rue Docteur Roland Barrat";"Public";"4.937663732669749";"-52.327826125161344"
"Camopi";"Elem";"ce.9730071p@ac-guyane.fr";"97330";"Ecole primaire de Camopi";"Guyane";"Bourg De Camopi";"Public";"3.166408361957498";"-52.33354026425467"
"Cayenne";"Mater";"ce.9730096s@ac-guyane.fr";"97300";"Ecole maternelle d'application Jean Macé";"Guyane";"Route De Montabo";"Public";"4.939074132057651";"-52.30666990929379"
"Cayenne";"Elem";"ce.9730114l@ac-guyane.fr";"97300";"Ecole élémentaire Léopold Héder";"Guyane";"Allée Lavalière Rue Auguste Boudinot, Cite Eau Lisette";"Public";"4.933225700512824";"-52.319671747252606"
"Cayenne";"Mater";"ce.9730131e@ac-guyane.fr";"97300";"Ecole maternelle Solange Patient";"Guyane";"Rue Lieutenant Goinet";"Public";"4.939838269830896";"-52.329931557594065"
"Matoury";"Elem";"ce.9730148y@ac-guyane.fr";"97351";"Ecole élémentaire Gilberte BRIQUET";"Guyane";"Rue Maurice Bocs";"Public";"4.849966199932414";"-52.3287640683872"
"Remire-Montjoly";"Elem";"ce.9730164r@ac-guyane.fr";"97354";"Ecole élémentaire Edgard Galliot";"Guyane";"Lotissement Les Grenadilles, Impasse De L'Ecole";"Public";"4.915427808613599";"-52.28102958423484"
"Kourou";"Elem";"ce.9730176d@ac-guyane.fr";"97310";"Ecole élémentaire Eustase Rimane";"Guyane";"Rue Louis Amstrong, Cite Oulapa / Bp 387";"Public";"5.167371832031727";"-52.647915609069294"
"Maripasoula";"Elem";"ce.9730202g@ac-guyane.fr";"97370";"Ecole élémentaire Cayodé";"Guyane";"Bourg De Cayode";"Public";"3.6440328290934185";"-54.0302173066042"
"Kourou";"Mater";"ce.9730255p@ac-guyane.fr";"97310";"Ecole maternelle Olivier Compas";"Guyane";"Rue Pablo Picasso";"Public";"5.174689103948233";"-52.649736645559955"
"Saint-Laurent-du-Maroni";"Elem";"ce.9730320k@ac-guyane.fr";"97393";"Ecole élémentaire Jacques Voyer";"Guyane";"Lotissement Les Cultures, Chemin Des Sables Blancs / Bp 169";"Public";"5.502587370496103";"-54.024770258223505"
"Cayenne";"Elem";"ce.9730399w@ac-guyane.fr";"97300";"Ecole élémentaire Vendôme";"Guyane";"Résidence Novaparc";"Public";"4.923166807297302";"-52.313659810138375"
"Matoury";"Elem";"ce.9730413l@ac-guyane.fr";"97351";"Ecole Elémentaire Maurice BELLONY";"Guyane";"Lieu-Dit Cogneau Lamirande";"Public";"4.875864127402187";"-52.332099641943984"
"Saint-Laurent-du-Maroni";"Elem";"ce.9730420u@ac-guyane.fr";"97320";"Ecole élémentaire Rudolph Biswane";"Guyane";"Rue Milien Village Balate";"Public";"5.4883689227103805";"-54.03559174238066"
"Mana";"Elem";"ce.9730445w@ac-guyane.fr";"97360";"Ecole primaire Groupe scolaire Anne-Marie Marchadour";"Guyane";"4 Rue Des Ecoles, Javouhey";"Public";"5.6056666864544935";"-53.81642572552223"
"Macouria";"Elem";"ce.9730480j@ac-guyane.fr";"97355";"Ecole Primaire Serge Adelson";"Guyane";"1 Bis Rue Mombin, Zac De Soula";"Public";"4.93289612929245";"-52.41177744073987"
