"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Berny-Rivière";"Elem";"ce.0020098w@ac-amiens.fr";"02290";"Ecolé élémentaire";"Aisne";"Rue Du Mont À Berry";"Public";"49.410966445622954";"3.140199781940584"
"Berry-au-Bac";"Elem";"ce.0020100y@ac-amiens.fr";"02190";"Ecole primaire";"Aisne";"Rue Des Ecoles";"Public";"49.40394872131576";"3.903280084038519"
"Billy-sur-Aisne";"Elem";"ce.0020121w@ac-amiens.fr";"02200";"Ecole primaire Hérou Pasteur";"Aisne";"22 Place De La Mairie";"Public";"49.35607735937692";"3.3841203957775075"
"Bohain-en-Vermandois";"Elem";"ce.0020128d@ac-amiens.fr";"02110";"Ecole élémentaire Chêne Brûlé";"Aisne";"Rue Du Chêne Brulé";"Public";"49.9888328393416";"3.4561243746215036"
"Chauny";"Elem";"ce.0020252n@ac-amiens.fr";"02300";"Groupe scolaire Jean Jaurès";"Aisne";"49 Avenue Jean Jaurès";"Public";"49.616650435176545";"3.2244804909996416"
"Chauny";"Elem";"ce.0020255s@ac-amiens.fr";"02300";"Ecole élémentaire de La Chaussée";"Aisne";"10 Rue Des Petits Navoirs";"Public";"49.60882902293899";"3.221889361363891"
"Beautor";"Mater";"ce.0020389m@ac-amiens.fr";"02800";"Ecole maternelle Saint-Exupéry";"Aisne";"Rue De L'Equipée";"Public";"49.65129998816347";"3.3433693221087597"
"Evergnicourt";"Elem";"ce.0020444x@ac-amiens.fr";"02190";"Ecole primaire Armande Roux";"Aisne";"5 Rue De Neufchâtel";"Public";"49.44266071612299";"4.041500291798358"
"Anizy-le-Grand";"Elem";"ce.0020449c@ac-amiens.fr";"02320";"Ecole élémentaire Yves Bres";"Aisne";"1 Grand'Rue Faucoucourt";"Public";"49.51412905435924";"3.481445312251011"
"Fère-en-Tardenois";"Elem";"ce.0020459n@ac-amiens.fr";"02130";"Ecole élémentaire Jules Ferry";"Aisne";"Rue Messidor Bouleau";"Public";"49.199507718156994";"3.5096002094412433"
"Cugny";"Elem";"ce.0020611d@ac-amiens.fr";"02480";"Ecole primaire";"Aisne";"Rue De L'Eglise";"Public";"49.70743446580724";"3.155610571828152"
"Marcy-sous-Marle";"Mater";"ce.0020656c@ac-amiens.fr";"02250";"Ecole Pierre Braillon";"Aisne";"Rue Braillon";"Public";"49.73997704369459";"3.7355904394241635"
"Marle";"Elem";"ce.0020666n@ac-amiens.fr";"02250";"Ecole primaire Jean Macé - Jules Ferry";"Aisne";"Rue Desains";"Public";"49.73852082400262";"3.7734105764967696"
"Martigny";"Elem";"ce.0020670t@ac-amiens.fr";"02500";"Ecole primaire";"Aisne";"Place Du Général De Gaulle";"Public";"49.85967264835374";"4.137399394512629"
"Saint-Christophe-à-Berry";"Mater";"ce.0020804n@ac-amiens.fr";"02290";"Ecole maternelle hameau de Sacy";"Aisne";"Hameau De Sacy";"Public";"49.42722471214118";"3.116060448378724"
"Pasly";"Elem";"ce.0020891h@ac-amiens.fr";"02200";"Ecole primaire Robert Lengele";"Aisne";"17 Rue De L'Osière";"Public";"49.40180227535262";"3.2927404185283144"
"Villers-Cotterêts";"Elem";"ce.0020906z@ac-amiens.fr";"02600";"Ecole élémentaire Faubourg de Pisseleux";"Aisne";"Avenue De La Haute Borne";"Public";"49.24051433835869";"3.0798593999395774"
"Pontavert";"Elem";"ce.0020917l@ac-amiens.fr";"02160";"Ecole primaire Vallée des Deux Cantons";"Aisne";"3 Rue Du Moulin Walbaum";"Public";"49.407113666417146";"3.8189098407278457"
"Presles-et-Thierny";"Elem";"ce.0020928y@ac-amiens.fr";"02860";"Ecole élémentaire";"Aisne";"Rue De L'Eglise";"Public";"49.509736112125886";"3.625549437756992"
"Landouzy-la-Cour";"Elem";"ce.0020963l@ac-amiens.fr";"02140";"Ecole élémentaire";"Aisne";"4 Rue De La Petite Ville";"Public";"49.84742199372159";"3.985029658525996"
"Laon";"Mater";"ce.0020986l@ac-amiens.fr";"02000";"Ecole maternelle Anatole France";"Aisne";"Rue Gabriel Péri";"Public";"49.57004676669133";"3.6003397705639935"
"Laon";"Elem";"ce.0020988n@ac-amiens.fr";"02000";"Ecole primaire Champfleury";"Aisne";"48 Rue Vinchon";"Public";"49.56320486751241";"3.6285895641508716"
"Laon";"Elem";"ce.0020993u@ac-amiens.fr";"02000";"Ecole primaire Gilbert Lobjois";"Aisne";"34 Rue Roger Salengro";"Public";"49.5681169486293";"3.6279394412056725"
"Largny-sur-Automne";"Elem";"ce.0021000b@ac-amiens.fr";"02600";"Ecole élémentaire";"Aisne";"11 Rue Des Outhieux";"Public";"49.2589576391919";"3.040640305433116"
"Lesdins";"Elem";"ce.0021010m@ac-amiens.fr";"02100";"Ecole primaire Gérard Frison";"Aisne";"Rue De Picardie";"Public";"49.89504985027939";"3.321370626464294"
"Lislet";"Mater";"ce.0021030j@ac-amiens.fr";"02340";"Ecole maternelle";"Aisne";"2 Grande Rue Grande Rue";"Public";"49.6853411681248";"4.021160567633633"
"Guise";"Elem";"ce.0021094d@ac-amiens.fr";"02120";"Ecole primaire Albert Schweitzer";"Aisne";"40 Rue Du Docteur Schweitzer";"Public";"49.893655406819406";"3.6357661583651217"
"Lehaucourt";"Elem";"ce.0021112y@ac-amiens.fr";"02420";"Ecole primaire R Gérard";"Aisne";"Rue Jean Jaurès";"Public";"49.91732948106147";"3.279530609228121"
"Hirson";"Mater";"ce.0021123k@ac-amiens.fr";"02500";"Ecole maternelle Charles Clément - Champ Roland";"Aisne";"34 Rue Du Bas Rouet";"Public";"49.92848513633075";"4.078913790740353"
"Saulchery";"Elem";"ce.0021141e@ac-amiens.fr";"02310";"Ecole primaire";"Aisne";"125 Route Nationale";"Public";"48.97447916235313";"3.3078603200754935"
"Soissons";"Elem";"ce.0021191j@ac-amiens.fr";"02200";"Ecole élémentaire Saint-Crépin";"Aisne";"8 Bis Avenue Choron";"Public";"49.38694329853348";"3.3180504561176"
"Cessières-Suzy";"Elem";"ce.0021212g@ac-amiens.fr";"02320";"Ecole élémentaire";"Aisne";"3 Rue De L'Eglise, Suzy";"Public";"49.55941994218155";"3.496866579469474"
"Le Thuel";"Elem";"ce.0021230b@ac-amiens.fr";"02340";"Ecole élémentaire";"Aisne";"23 Grande Rue Grande Rue";"Public";"49.648494051584";"4.0757705789778385"
"Vadencourt";"Elem";"ce.0021252a@ac-amiens.fr";"02120";"Ecole primaire";"Aisne";"2 Rue Du Château";"Public";"49.92802270184204";"3.5780903918624123"
"Vauxaillon";"Elem";"ce.0021264n@ac-amiens.fr";"02320";"Ecole primaire";"Aisne";"Rue Du 102Ème Ri";"Public";"49.47847542811625";"3.4081703251212865"
"Verdilly";"Elem";"ce.0021282h@ac-amiens.fr";"02400";"Ecole primaire";"Aisne";"Rue De Fère";"Public";"49.073010640261074";"3.4238673665578223"
"Verneuil-sur-Serre";"Elem";"ce.0021291t@ac-amiens.fr";"02000";"Ecole élémentaire";"Aisne";"Rue Victor Hugo";"Public";"49.65239140941409";"3.6735902057092265"
"Vervins";"Mater";"ce.0021296y@ac-amiens.fr";"02140";"Ecole maternelle Pascal Céccaldi";"Aisne";"Place Papillon";"Public";"49.83329504268255";"3.902350041150299"
"Villers-Saint-Christophe";"Elem";"ce.0021337t@ac-amiens.fr";"02590";"Ecole primaire";"Aisne";"1 Place De La Mairie";"Public";"49.779928822673455";"3.0935996830509405"
"Villiers-Saint-Denis";"Elem";"ce.0021341x@ac-amiens.fr";"02310";"Ecole primaire";"Aisne";"111 Grande Rue .";"Public";"48.99369583151555";"3.2672104090135714"
"Vivières";"Elem";"ce.0021348e@ac-amiens.fr";"02600";"Ecole primaire";"Aisne";"10 Rue Du Château";"Public";"49.300285591063215";"3.1022601164953993"
"Nauroy";"Elem";"ce.0021392c@ac-amiens.fr";"02420";"Ecole primaire André Vatin";"Aisne";"2 Place Du 8 Mai 1945";"Public";"49.954883345677494";"3.25562974229725"
"Le Nouvion-en-Thiérache";"Mater";"ce.0021421j@ac-amiens.fr";"02170";"Ecole maternelle Blot";"Aisne";"13 Rue Théodore Blot";"Public";"50.0174406035865";"3.786740301604559"
"Origny-Sainte-Benoite";"Elem";"ce.0021445k@ac-amiens.fr";"02390";"Ecole élémentaire Condorcet";"Aisne";"Place Jean Mermoz";"Public";"49.83925044169266";"3.4883396426992164"
"Origny-Sainte-Benoite";"Mater";"ce.0021446l@ac-amiens.fr";"02390";"Ecole maternelle Marie Curie";"Aisne";"13 Rue Du Tordoir";"Public";"49.837704464169654";"3.4867204722732703"
"Château-Thierry";"Mater";"ce.0021529b@ac-amiens.fr";"02400";"Ecole maternelle Les Vaucrises-Hérissons";"Aisne";"Rue Des Hérissons";"Public";"49.047254668312874";"3.3902704721942256"
"Trosly-Loire";"Elem";"ce.0021556f@ac-amiens.fr";"02300";"Ecole primaire";"Aisne";"Place Adalbert Brun";"Public";"49.51718296716601";"3.226951876416399"
"Courmelles";"Elem";"ce.0021570w@ac-amiens.fr";"02200";"Ecole primaire René Hocquemiller";"Aisne";"Rue Jules Ferry";"Public";"49.34667434782259";"3.311890207623606"
"Hartennes-et-Taux";"Elem";"ce.0021571x@ac-amiens.fr";"02210";"Ecole primaire";"Aisne";"12 Rue Du Chat Noir";"Public";"49.27365895909788";"3.349819606666277"
"Amigny-Rouy";"Elem";"ce.0021584l@ac-amiens.fr";"02700";"Ecole primaire";"Aisne";"Rue Du Peuplier";"Public";"49.608705456524916";"3.30356061448161"
"Charmes";"Elem";"ce.0021602f@ac-amiens.fr";"02800";"Ecole primaire privée Lacordaire";"Aisne";"Route De Laon";"Privé";"49.65747083714667";"3.3855798173006586"
"Ribemont";"Elem";"ce.0021618y@ac-amiens.fr";"02240";"Ecole primaire privée du Sacré-Coeur";"Aisne";"38 Rue Condorcet";"Privé";"49.79619815178728";"3.459100577956679"
"Rozoy-sur-Serre";"Elem";"ce.0021619z@ac-amiens.fr";"02360";"Ecole primaire privée Jeanne d'Arc";"Aisne";"93 Rue Du Chapitre";"Privé";"49.708429099654154";"4.1281794043416"
"Saint-Quentin";"Elem";"ce.0021623d@ac-amiens.fr";"02100";"Ecole primaire privée Notre-Dame";"Aisne";"2 Rue Des Plates Pierres";"Privé";"49.84446262234442";"3.2888703149598566"
"Plomion";"Elem";"ce.0021650h@ac-amiens.fr";"02140";"Ecole primaire";"Aisne";"8 Rue Albert Renaudin";"Public";"49.80695567534854";"4.016160333015501"
"Neuve-Maison";"Elem";"ce.0021667b@ac-amiens.fr";"02500";"Ecole primaire";"Aisne";"41 Rue De Verdun";"Public";"49.92955672235092";"4.034000486860816"
"Boué";"Elem";"ce.0021669d@ac-amiens.fr";"02450";"Ecole primaire";"Aisne";"Place Du Général De Gaulle";"Public";"50.01241148412844";"3.697440041070663"
"La Capelle";"Elem";"ce.0021671f@ac-amiens.fr";"02260";"Ecole primaire";"Aisne";"Rue Des Poilus De Verdun";"Public";"49.97580018682057";"3.9198795530256256"
"Château-Thierry";"Elem";"ce.0021672g@ac-amiens.fr";"02400";"Ecole primaire Juge Magnaud";"Aisne";"Rue De La Mare Aubry";"Public";"49.04169281255099";"3.384839678895971"
"Saint-Michel";"Elem";"ce.0021675k@ac-amiens.fr";"02830";"Ecole primaire Maurice Brugnon";"Aisne";"3 Rue Loubet";"Public";"49.92084514022615";"4.136560116949539"
"Nogent-l'Artaud";"Elem";"ce.0021680r@ac-amiens.fr";"02310";"Ecole primaire des Marronniers";"Aisne";"Rue Des Ecoles";"Public";"48.965628883745545";"3.324909887970853"
"Brissy-Hamégicourt";"Elem";"ce.0021695g@ac-amiens.fr";"02240";"Ecole primaire";"Aisne";"3 Rue Du Moulin";"Public";"49.74348074136366";"3.3783594431413477"
"Clastres";"Elem";"ce.0021696h@ac-amiens.fr";"02440";"Ecole primaire";"Aisne";"Rue De Montescourt";"Public";"49.74585011324628";"3.234779574691267"
"Athies-sous-Laon";"Mater";"ce.0021707v@ac-amiens.fr";"02840";"Ecole maternelle Jacques Camus";"Aisne";"Rue Des Ecoles";"Public";"49.57505203838121";"3.6809905821560363"
