"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Paris  5e  Arrondissement";"Elem";"ce.0750149e@ac-paris.fr";"75005";"E.P.PR SAINTE-CATHERINE 13 bis rue des Bernardins";"Paris";"13 Bis Rue Des Bernardins";"Privé";"48.85024361643063";"2.35084371821255"
"Paris 14e  Arrondissement";"Elem";"ce.0750154k@ac-paris.fr";"75014";"E.P.PR SEVIGNE 95 boulevard Arago";"Paris";"95 Boulevard Arago";"Privé";"48.83431410997515";"2.33464212863397"
"Paris  7e  Arrondissement";"Elem";"ce.0750185u@ac-paris.fr";"75007";"E.P.PR SAINTE-JEANNE ELISABETH 49 avenue duquesne";"Paris";"49 Avenue Duquesne";"Privé";"48.84967269648358";"2.3136504007489753"
"Paris  8e  Arrondissement";"Elem";"ce.0750195e@ac-paris.fr";"75008";"E.P.PR SAINT-PIERRE DE CHAILLOT 10 rue Chistophe Colomb";"Paris";"10 Rue Chistophe Colomb";"Privé";"48.86985862690528";"2.299364404305736"
"Paris 11e  Arrondissement";"Elem";"ce.0750227p@ac-paris.fr";"75011";"E.P.PR SAINT-AMBROISE 11 passage Saint Ambroise";"Paris";"11 Passage Saint Ambroise";"Privé";"48.86365533345122";"2.377014691158897"
"Paris  8e  Arrondissement";"Elem";"ce.0750229s@ac-paris.fr";"75008";"E.P.PR FENELON SAINTE-MARIE 7 rue de la Bienfaisance";"Paris";"7 Rue De La Bienfaisance";"Privé";"48.876698711206174";"2.3203692571615733"
"Paris 14e  Arrondissement";"Elem";"ce.0750259z@ac-paris.fr";"75014";"E.P.PR LA BRUYERE-SAINTE-ISABELLE 70 rue de l'Abbé Carton";"Paris";"70 Rue De L'Abbé Carton";"Privé";"48.828408717902384";"2.318965041450071"
"Paris 15e  Arrondissement";"Elem";"ce.0750281y@ac-paris.fr";"75015";"E.P.PR LA CROIX 25 rue Mathurin Régnier";"Paris";"25 Rue Mathurin Régnier";"Privé";"48.839854111711986";"2.307836474382328"
"Paris 16e  Arrondissement";"Elem";"ce.0750295n@ac-paris.fr";"75016";"E.P.PR L'ASSOMPTION 6 rue de Lubeck";"Paris";"6 Rue De Lubeck";"Privé";"48.86687437031992";"2.2942747896366904"
"Paris 17e  Arrondissement";"Elem";"ce.0750321s@ac-paris.fr";"75017";"E.P.PR BLANCHE DE CASTILLE 8 ter rue Roger Bacon";"Paris";"8 Ter Rue Roger Bacon";"Privé";"48.88256723395801";"2.289450362092928"
"Paris 18e  Arrondissement";"Elem";"ce.0750337j@ac-paris.fr";"75018";"E.P.PR SAINT-JEAN DE MONTMARTRE 31 rue Caulaincourt";"Paris";"31 Rue Caulaincourt";"Privé";"48.88821536735607";"2.333774738186778"
"Paris 19e  Arrondissement";"Elem";"ce.0750349x@ac-paris.fr";"75019";"E.P.PR SAINT-GEORGES 17 rue Bouret";"Paris";"17 Rue Bouret";"Privé";"48.881097072033654";"2.375119309859386"
"Paris 20e  Arrondissement";"Elem";"ce.0750598t@ac-paris.fr";"75020";"E.P.PR NOTRE DAME DE LA CROIX 13 rue du Retrait";"Paris";"13 Rue Du Retrait";"Privé";"48.86820804554957";"2.3949439771377024"
"Paris 13e  Arrondissement";"Elem";"ce.0750815d@ac-paris.fr";"75013";"E.E.A.PU ARAGO D 30 boulevard Arago";"Paris";"30 Boulevard Arago";"Public";"48.835599770681675";"2.3474593725120436"
"Paris 19e  Arrondissement";"Elem";"ce.0750821k@ac-paris.fr";"75019";"E.E.PU BARBANEGRE EA 7 rue Barbanègre";"Paris";"7 Rue Barbanègre";"Public";"48.89213866232671";"2.3828617081915295"
