"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Saint-Louis";"Elem";"ce.9741536b@ac-reunion.fr";"97450";"Ecole élémentaire publique Paul Salomon II";"La Réunion";"87 Chemin Cannes Purisies";"Public";"-21.282424010463476";"55.431647449542915"
"L'Etang-Salé";"Elem";"ce.9741576v@ac-reunion.fr";"97427";"Ecole primaire publique Ravine Sheunon";"La Réunion";"159 Chemin Charbonnier, Bp 97427";"Public";"-21.255733295980605";"55.36767075841036"
"La Possession";"Elem";"ce.9741584d@ac-reunion.fr";"97419";"Ecole primaire publique Eloi Julenon";"La Réunion";"31 Avenue De La Palestine";"Public";"-20.96331471006668";"55.332602311124084"
"Saint-Paul";"Elem";"ce.9741600w@ac-reunion.fr";"97435";"Ecole primaire publique Mathilde Frappier de MontBenoit";"La Réunion";"2 Chemin Joli Coeur, Champ De Merle";"Public";"-21.049015710068655";"55.26289994764873"
"La Plaine-des-Palmistes";"Elem";"ce.9741615m@ac-reunion.fr";"97431";"Ecole primaire publique Zulmé Pinot";"La Réunion";"9 Rue Des Songes";"Public";"-21.12719114075834";"55.63952419355792"
"Saint-Leu";"Elem";"ce.9741623w@ac-reunion.fr";"97424";"Ecole primaire publique Mario Hoarau";"La Réunion";"31 Rue Du Pressoir, Piton St Leu";"Public";"-21.223012405486134";"55.30328922165727"
"Saint-Denis";"Elem";"ecole@montesourire.com";"97400";"Ecole primaire privée Montessori de Saint Denis";"La Réunion";"15 Rue Mazagran, St Denis";"Privé";"-20.8875297719956";"55.45527411409149"
"Saint-Pierre";"Elem";"contact@zoe-education.fr";"97432";"Ecole primaire privée L'Etoile";"La Réunion";"159 Rue Des Flamboyants, Ravine Des Cabris";"Privé";"-21.286103630103433";"55.50813827064691"
"La Possession";"Elem";"ce.9740026k@ac-reunion.fr";"97419";"Ecole primaire publique Laurent Vergès";"La Réunion";"30 Rue De La Roche Glisse";"Public";"-20.966583021966315";"55.33207272874618"
"Le Tampon";"Elem";"ce.9740047h@ac-reunion.fr";"97430";"Ecole primaire privée catholique Marthe Robin";"La Réunion";"136 Rue Jules Bertaut";"Privé";"-21.279814654584726";"55.518353032266454"
"Petite-Ile";"Elem";"ce.9740110b@ac-reunion.fr";"97429";"Ecole élémentaire publique les Bougainvilliers";"La Réunion";"4 Rue Des Écoliers, Ravine Du Pont";"Public";"-21.340648178496885";"55.55898986432321"
"Petite-Ile";"Elem";"ce.9740111c@ac-reunion.fr";"97429";"Ecole primaire publique Le Vetyver";"La Réunion";"19 Impasse De L'Ecole";"Public";"-21.337675311652248";"55.57807071154374"
"Saint-Denis";"Elem";"ce.9740128w@ac-reunion.fr";"97490";"Ecole élémentaire publique Bois de Nèfles";"La Réunion";"151 Route Des Ananas";"Public";"-20.917121565925065";"55.47594422615215"
"Saint-Benoît";"Mater";"ce.9740157c@ac-reunion.fr";"97470";"Ecole maternelle publique la Poussinière";"La Réunion";"9 Rue Lucien Duchemann";"Public";"-21.038056833639075";"55.7180783608402"
"L'Etang-Salé";"Mater";"ce.9740171t@ac-reunion.fr";"97427";"Ecole maternelle publique Jeanne Visnelda";"La Réunion";"1 Rue Louis Chabrier";"Public";"-21.25977829170092";"55.36359068549709"
"Le Port";"Mater";"ce.9740174w@ac-reunion.fr";"97420";"Ecole maternelle publique Yvonna Bigot";"La Réunion";"46 Rue Lepervenche";"Public";"-20.938526841314467";"55.29125016212138"
"La Possession";"Elem";"ce.9740187k@ac-reunion.fr";"97419";"Ecole primaire publique Paul Langevin";"La Réunion";"4 Rue Jacques Duclos, Dos D'Ane";"Public";"-20.978991370355878";"55.37723995654401"
"Saint-André";"Elem";"ce.9740193s@ac-reunion.fr";"97440";"Ecole primaire publique Ravine Creuse";"La Réunion";"174 Chemin De Ravine Creuse";"Public";"-20.964050840605797";"55.6647909760471"
"Saint-Benoît";"Mater";"ce.9740197w@ac-reunion.fr";"97437";"Ecole maternelle publique les Orangers";"La Réunion";"385 Route Nationale 2, Les Orangers  Ste Anne";"Public";"-21.112048962165446";"55.75198801170925"
"Saint-Benoît";"Elem";"ce.9740201a@ac-reunion.fr";"97470";"Ecole élémentaire publique Denise Salai";"La Réunion";"1 Chemin Prévoisy, Bras Canot";"Public";"-21.0500188780205";"55.705480993302636"
"Saint-Denis";"Elem";"ce.9740210k@ac-reunion.fr";"97490";"Ecole élémentaire publique les Bancouliers";"La Réunion";"6 Allée Des Kentias, Moufia";"Public";"-20.909302624953018";"55.48196543957907"
"Saint-Joseph";"Elem";"ce.9740215r@ac-reunion.fr";"97480";"Ecole primaire publique Plaine des Grègues";"La Réunion";"17 Chemin Du Rond";"Public";"-21.31970739783511";"55.604499726377824"
