"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Le Robert";"Elem";"ce.9720814c@ac-martinique.fr";"97231";"Ecole primaire d'application Edgard Labourg";"Martinique";"Quartier Four A Chaux";"Public";"14.657037710600235";"-60.935815642027144"
"L'Ajoupa-Bouillon";"Mater";"ce.9720093u@ac-martinique.fr";"97216";"Ecole maternelle Acalypha";"Martinique";"Rue Ilmany Marie Louise";"Public";"14.82531285653508";"-61.11597522907435"
"Les Anses-d'Arlet";"Elem";"ce.9720099a@ac-martinique.fr";"97217";"Ecole primaire Petite Anse";"Martinique";"Rue Case Toto";"Public";"14.468942410379276";"-61.06854195535429"
"Le Diamant";"Elem";"ce.9720112p@ac-martinique.fr";"97223";"Ecole élémentaire LE DIAMANT BOURG";"Martinique";"77 Rue Justin Roc";"Public";"14.480535722238436";"-61.023698595755775"
"Fort-de-France";"Mater";"ce.9720131k@ac-martinique.fr";"97234";"Ecole maternelle de Briant-Les Roses";"Martinique";"Boulevard René Hubert Games, Godissard";"Public";"14.628140125556126";"-61.068749565263374"
"Fort-de-France";"Mater";"ce.9720138t@ac-martinique.fr";"97200";"Ecole maternelle Dillon A Les Libellules";"Martinique";"21 Rue Lumina Sophie, Cité Dillon";"Public";"14.605776892911367";"-61.04615281480751"
"Fort-de-France";"Elem";"ce.9720156m@ac-martinique.fr";"97200";"Ecole élémentaire Ravine Bouille Emile Nabeti";"Martinique";"Route Des Religieuses Voie 31";"Public";"14.608913747290382";"-61.05937273970657"
"Saint-Joseph";"Elem";"ce.9720164w@ac-martinique.fr";"97212";"Ecole primaire Rivière L'Or";"Martinique";"Riviere L'Or";"Public";"14.682784655613332";"-61.01524962765243"
"Fort-de-France";"Elem";"ce.9720167z@ac-martinique.fr";"97200";"Ecole élémentaire SABINE ANDRIVON-MILTON";"Martinique";"10 Rue Docteur Désiré Girard";"Public";"14.608606746734786";"-61.05755834682343"
"Le François";"Elem";"ce.9720176j@ac-martinique.fr";"97240";"Ecole primaire Bois Soldat";"Martinique";"Bois Soldat";"Public";"14.600734386910425";"-60.893609962156695"
"Gros-Morne";"Elem";"ce.9720192b@ac-martinique.fr";"97213";"Ecole primaire Dumaine";"Martinique";"Dumaine";"Public";"14.721849037540373";"-61.01931993936807"
"Le Lamentin";"Elem";"ce.9720201l@ac-martinique.fr";"97232";"Ecole élémentaire Gondeau Palmiste A";"Martinique";"Gondeau Palmiste";"Public";"14.631811329875616";"-61.02856954395399"
"Le Lamentin";"Elem";"ce.9720203n@ac-martinique.fr";"97232";"Ecole primaire Roches Carrées";"Martinique";"Roches Carrees";"Public";"14.630993282307085";"-60.963130322196484"
"Le Marigot";"Mater";"ce.9720219f@ac-martinique.fr";"97225";"Ecole maternelle";"Martinique";"Bourg";"Public";"14.820803781510936";"-61.03126993480883"
"Le Marigot";"Elem";"ce.9720220g@ac-martinique.fr";"97225";"Ecole primaire VALENTINE BREDAS";"Martinique";"Dominante";"Public";"14.798528022370787";"-61.041419761346276"
"Le Morne-Rouge";"Mater";"ce.9720231u@ac-martinique.fr";"97260";"Ecole maternelle MORNE-ROUGE";"Martinique";"13 Rue André Aliker";"Public";"14.771036010555184";"-61.13702687698314"
"Rivière-Pilote";"Mater";"ce.9720244h@ac-martinique.fr";"97211";"Ecole maternelle  MANNIKOU";"Martinique";"Quartier Desfarges";"Public";"14.481017556718964";"-60.90487014907586"
"Rivière-Salée";"Elem";"ce.9720252s@ac-martinique.fr";"97215";"Ecole élémentaire A";"Martinique";"Grand Bourg Rte Desmarin";"Public";"14.52829159696525";"-60.97977008127847"
"Sainte-Anne";"Elem";"ce.9720275s@ac-martinique.fr";"97227";"Ecole élémentaire SAINTE-ANNE";"Martinique";"Bourg, Belfond";"Public";"14.444852682141152";"-60.87915032070568"
"Saint-Esprit";"Mater";"ce.9720282z@ac-martinique.fr";"97270";"Ecole maternelle SAINT-ESPRIT A";"Martinique";"Ter Résidence Résidence Gueydon";"Public";"14.569341652939235";"-60.933789762546105"
