"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Bandraboua";"Elem";"ce.9760045v@ac-mayotte.fr";"97650";"Ecole élémentaire publique Arc-en-ciel";"Mayotte";"641 Rue Du Pont, Bouyouni";"Public";"-12.735244124351981";"45.13903702422293"
"Chirongui";"Elem";"ce.9760030d@ac-mayotte.fr";"97620";"Ecole élémentaire publique de Chirongui 1";"Mayotte";"180 Rue Hamada Chamassi, Chirongui";"Public";"-12.931873172242343";"45.152822439632295"
"Kani-Kéli";"Elem";"ce.9760032f@ac-mayotte.fr";"97625";"Ecole primaire publique de Mronabeja";"Mayotte";"1 Rue Soulaimana Gau Mronabéja";"Public";"-12.980859563467158";"45.12355031651416"
"Chirongui";"Elem";"ce.9760035j@ac-mayotte.fr";"97620";"Ecole élémentaire publique de Poroani 1 Bambansouf";"Mayotte";"Poroani";"Public";"-12.893527902153874";"45.14230578960861"
"Tsingoni";"Elem";"ce.9760040p@ac-mayotte.fr";"97680";"Ecole primaire publique Hassani Halifa";"Mayotte";"Rue De La Mosquée De Vendredi, Tsingoni";"Public";"-12.78943032012685";"45.10695083194385"
"Chirongui";"Elem";"ce.9760053d@ac-mayotte.fr";"97620";"Ecole élémentaire publique Tsimkoura";"Mayotte";"13 Boulevard Bamana Abdou, Tsimkoura";"Public";"-12.938678046376646";"45.14120290385644"
"Dzaoudzi";"Elem";"ce.9760056g@ac-mayotte.fr";"97615";"Ecole élémentaire publique Mme Laza M'mze";"Mayotte";"2 Rue Des Écoles, Potelea  Labattoir 2";"Public";"-12.787791959520758";"45.27605116967266"
"Mamoudzou";"Elem";"ce.9760065s@ac-mayotte.fr";"97600";"Ecole élémentaire publique Foundi Thani 1";"Mayotte";"Rue Toumbou Sélémani, Mamoudzou Boboca";"Public";"-12.77916631276256";"45.229527881567094"
"Mtsamboro";"Elem";"ce.9760070x@ac-mayotte.fr";"97630";"Ecole élémentaire publique de Mtsamboro 2";"Mayotte";"Route Departementale, Mtsamboro";"Public";"-12.701006138772978";"45.065939189026224"
"Pamandzi";"Elem";"ce.9760073a@ac-mayotte.fr";"97615";"Ecole élémentaire publique de Pamandzi 2 Sabili";"Mayotte";"22 Rue Du Dispensaire, Pamandzi";"Public";"-12.798122882028446";"45.27646689840922"
"Sada";"Elem";"ce.9760077e@ac-mayotte.fr";"97640";"Ecole élémentaire publique de Mangajou";"Mayotte";"Quartier De La Citadelle Mangajou";"Public";"-12.843384309715075";"45.117647354778924"
"Acoua";"Elem";"ce.9760081j@ac-mayotte.fr";"97630";"Ecole élémentaire publique de Acoua 2";"Mayotte";"Rue Du Plateau, Acoua";"Public";"-12.723533039482323";"45.05771914954677"
"Bandraboua";"Elem";"ce.9760138w@ac-mayotte.fr";"97650";"Ecole primaire publique Rafion Madjinda";"Mayotte";"49 Rue Ppf, Bandraboua";"Public";"-12.699987375083163";"45.12325571705794"
"Bandrele";"Elem";"ce.9760146e@ac-mayotte.fr";"97660";"Ecole élémentaire publique M'Tsamoudou";"Mayotte";"1 Rue De La Maternelle De Mtsamoudou";"Public";"-12.961348814474412";"45.1730942259579"
"Bandraboua";"Mater";"ce.9760147f@ac-mayotte.fr";"97650";"Ecole maternelle publique Boina Djoumoi";"Mayotte";"58 Rue Hacomba, Dzoumogne";"Public";"-12.720256578679134";"45.11829044074366"
"Dembeni";"Mater";"ce.9760149h@ac-mayotte.fr";"97660";"Ecole maternelle publique d'Iloni";"Mayotte";"Iloni";"Public";"-12.845047434493967";"45.18996589498343"
"Mamoudzou";"Mater";"ce.9760152l@ac-mayotte.fr";"97600";"Ecole maternelle publique Cheik Said Ahmad 2A";"Mayotte";"Route Du Collège, Kaweni";"Public";"-12.77021030045613";"45.22214562891122"
"Ouangani";"Mater";"ce.9760155p@ac-mayotte.fr";"97670";"Ecole maternelle publique de Ouangani";"Mayotte";"Rue De La Mairie, Ouangani";"Public";"-12.849124999001898";"45.13918877951903"
"Dembeni";"Mater";"ce.9760157s@ac-mayotte.fr";"97660";"Ecole maternelle publique de Tsararano";"Mayotte";"Tsararano";"Public";"-12.836137599589208";"45.171530922321125"
"Chiconi";"Mater";"ce.9760174k@ac-mayotte.fr";"97670";"Ecole maternelle publique de Sohoa";"Mayotte";"Sohoa";"Public";"-12.821539397199796";"45.10527341321945"
"Chiconi";"Mater";"ce.9760192e@ac-mayotte.fr";"97670";"Ecole maternelle publique de Chiconi centre";"Mayotte";"Quartier Sicotram, Chiconi";"Public";"-12.830329739414122";"45.114379056544216"
