"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Rouen";"Mater";"ce.0760203h@ac-normandie.fr";"76000";"Ecole maternelle Thomas Corneille";"Seine-Maritime";"214 Route De Darnetal";"Public";"49.441721170847956";"1.1189404813462973"
"Rouen";"Elem";"ce.0760205k@ac-normandie.fr";"76000";"Ecole élémentaire Jean de la Fontaine";"Seine-Maritime";"8 Bis Rue Joseph Court";"Public";"49.45067760494365";"1.105395417570714"
"Rouen";"Mater";"ce.0760207m@ac-normandie.fr";"76000";"Ecole maternelle Marie Houdemare";"Seine-Maritime";"13 Rue Du Cordier";"Public";"49.44571902578236";"1.0963187836468509"
"Rouen";"Elem";"ce.0760217y@ac-normandie.fr";"76100";"Ecole élémentaire Jean Mullot";"Seine-Maritime";"16 Rue Jean Mullot";"Public";"49.42692465073531";"1.077753527271981"
"Rouen";"Elem";"ce.0760237v@ac-normandie.fr";"76000";"Ecole élémentaire Le Gouy";"Seine-Maritime";"16 Rue Legouy";"Public";"49.443230146169995";"1.1084036870942984"
"Rouen";"Elem";"ce.0760244c@ac-normandie.fr";"76000";"Ecole élémentaire Marie Houdemare";"Seine-Maritime";"20 Rue Du Beffroy";"Public";"49.44518843186505";"1.0959661133873337"
"Rouen";"Mater";"ce.0760250j@ac-normandie.fr";"76100";"Ecole maternelle Les Fabulettes";"Seine-Maritime";"23 Boulevard D'Orléans";"Public";"49.43654417504008";"1.0807775488426283"
"Rouen";"Mater";"ce.0760256r@ac-normandie.fr";"76000";"Ecole maternelle Marguerite Messier";"Seine-Maritime";"1 Place Marguerite Messier";"Public";"49.458036781409064";"1.130769278381103"
"Rouen";"Mater";"ce.0760259u@ac-normandie.fr";"76100";"Ecole maternelle Marie Pape Carpentier";"Seine-Maritime";"96 Rue Saint Julien";"Public";"49.42706292614024";"1.07740239103841"
"Rouen";"Mater";"ce.0760262x@ac-normandie.fr";"76000";"Ecole maternelle Joséphine Baker";"Seine-Maritime";"6 Rue Du Docteur Seguin";"Public";"49.454781360020306";"1.12611443058339"
"La Remuée";"Elem";"ce.0760270f@ac-normandie.fr";"76430";"Ecole primaire Henri Dès";"Seine-Maritime";"Rue Des Châtaigniers";"Public";"49.52827308554841";"0.411794562563673"
"Rogerville";"Elem";"ce.0760271g@ac-normandie.fr";"76700";"Ecole primaire Edgar Degas";"Seine-Maritime";"7 Rue René Coty";"Public";"49.50346612203366";"0.2671613227986292"
"Tancarville";"Elem";"ce.0760284w@ac-normandie.fr";"76430";"Ecole primaire publique Marie Lebreton";"Seine-Maritime";"Place De L'Eglise";"Public";"49.48767503972137";"0.45221666896829926"
"Critot";"Mater";"ce.0760292e@ac-normandie.fr";"76680";"Ecole maternelle";"Seine-Maritime";"Le Bourg";"Public";"49.60982463673266";"1.2532394323648979"
"Saint-Martin-Osmonville";"Elem";"ce.0760301p@ac-normandie.fr";"76680";"Ecole élémentaire";"Seine-Maritime";"12 Rue Du Stade";"Public";"49.63700873725517";"1.295964452545608"
"Haudricourt";"Elem";"ce.0760334a@ac-normandie.fr";"76390";"Ecole élémentaire";"Seine-Maritime";"275 Rue Des Ecoles";"Public";"49.734208486125276";"1.7069990446236152"
"Illois";"Elem";"ce.0760335b@ac-normandie.fr";"76390";"Ecole élémentaire";"Seine-Maritime";"15 Rue De L'Eglise";"Public";"49.74716961918135";"1.6513316428940457"
"Richemont";"Mater";"ce.0760340g@ac-normandie.fr";"76390";"Ecole maternelle";"Seine-Maritime";"55 Rue Centrale";"Public";"49.81127143998951";"1.6430316005719574"
"Saint-Ouen-le-Mauger";"Mater";"ce.0760372s@ac-normandie.fr";"76730";"Ecole maternelle";"Seine-Maritime";"140 Route Du Manoir De Lestanville";"Public";"49.755350406082464";"0.9623923479449519"
"Dieppe";"Elem";"ce.0760384e@ac-normandie.fr";"76200";"Ecole primaire Louis Vauquelin";"Seine-Maritime";"13 Rue Joseph Brunel";"Public";"49.926393606540024";"1.087023003436514"
"Le Torp-Mesnil";"Elem";"ce.0760425z@ac-normandie.fr";"76560";"Ecole élémentaire";"Seine-Maritime";"367 Rue De La Mairie";"Public";"49.71986444478685";"0.8994640288974179"
"Yvecrique";"Elem";"ce.0760426a@ac-normandie.fr";"76560";"Ecole primaire";"Seine-Maritime";"Rue Des Ecoles";"Public";"49.687932618891956";"0.8100758544952494"
"Darnétal";"Elem";"ce.0760432g@ac-normandie.fr";"76160";"Ecole élémentaire Suzanne Savale";"Seine-Maritime";"127 Rue De Longpaon";"Public";"49.445650115152574";"1.1479901071379786"
"Morville-le-Héron";"Elem";"ce.0760449a@ac-normandie.fr";"76780";"Ecole élémentaire";"Seine-Maritime";"Le Heron";"Public";"49.49447336180529";"1.4075296739296268"
"Martainville-Epreville";"Elem";"ce.0760452d@ac-normandie.fr";"76116";"Ecole élémentaire";"Seine-Maritime";"190 Rue Du Château";"Public";"49.46012202299945";"1.2965330329940719"
"Ry";"Elem";"ce.0760455g@ac-normandie.fr";"76116";"Ecole primaire Sobelman";"Seine-Maritime";"1 Chemin Du Moulin À Cuir";"Public";"49.472029652364554";"1.3470006470021174"
"Saint-Léger-du-Bourg-Denis";"Elem";"ce.0760461n@ac-normandie.fr";"76160";"Ecole élémentaire René Coty II";"Seine-Maritime";"747 Route De Lyons";"Public";"49.432371975869515";"1.1559336374788207"
"Boissay";"Elem";"ce.0760473b@ac-normandie.fr";"76750";"Ecole élémentaire";"Seine-Maritime";"Rue De La Clef Des Champs";"Public";"49.51992109649418";"1.359204640478424"
"Bosville";"Elem";"ce.0760494z@ac-normandie.fr";"76450";"Ecole primaire des Quatre Clochers";"Seine-Maritime";"138 Rue De L'Église";"Public";"49.755036393746245";"0.6913376808169831"
"Butot-Vénesville";"Elem";"ce.0760495a@ac-normandie.fr";"76450";"Ecole élémentaire";"Seine-Maritime";"Hameau Du Nid De Geai";"Public";"49.81146193100589";"0.5899617161847176"
"Paluel";"Elem";"ce.0760504k@ac-normandie.fr";"76450";"Ecole élémentaire des cygnes";"Seine-Maritime";"1 Route De Veulettes";"Public";"49.83513377344532";"0.6261681902378137"
"Grigneuseville";"Elem";"ce.0760546f@ac-normandie.fr";"76850";"Ecole élémentaire";"Seine-Maritime";"Rue De L'Eglise";"Public";"49.65325617039348";"1.1887439617224465"
"Bolbec";"Elem";"ce.0760557t@ac-normandie.fr";"76210";"Ecole élémentaire Jules Verne";"Seine-Maritime";"50 Rue Du 8 Mai 1945";"Public";"49.576557463208125";"0.48128579875637206"
"Bolbec";"Mater";"ce.0760560w@ac-normandie.fr";"76210";"Ecole maternelle Edmée Hatinguais";"Seine-Maritime";"1 Rue Saint-Michel";"Public";"49.57099247068889";"0.47236077708288876"
"Beuzevillette";"Elem";"ce.0760568e@ac-normandie.fr";"76210";"Ecole primaire";"Seine-Maritime";"30 Place De La Mairie";"Public";"49.57113010266798";"0.5361620107139816"
"Bolleville";"Elem";"ce.0760569f@ac-normandie.fr";"76210";"Ecole élémentaire";"Seine-Maritime";"5 Rue Des Ecoles";"Public";"49.59953412223085";"0.563340449048756"
"Rouville";"Elem";"ce.0760580t@ac-normandie.fr";"76210";"Ecole élémentaire le Lin Bleu";"Seine-Maritime";"50 Route De Valmont";"Public";"49.61538307942815";"0.4995525984132665"
"Pierrecourt";"Elem";"ce.0760604u@ac-normandie.fr";"76340";"Ecole élémentaire";"Seine-Maritime";"6 Rue De La Mairie";"Public";"49.892695297087414";"1.6458221782935099"
"Clères";"Elem";"ce.0760612c@ac-normandie.fr";"76690";"Ecole primaire l'Orée du Parc";"Seine-Maritime";"38 Rue Hippolyte Lemarchand";"Public";"49.59928430161069";"1.108912250399587"
"Bosc-Guérard-Saint-Adrien";"Elem";"ce.0760616g@ac-normandie.fr";"76710";"Ecole primaire Françoise Dolto";"Seine-Maritime";"Route De Tendos";"Public";"49.54325866208122";"1.11561235122839"
"La Rue-Saint-Pierre";"Elem";"ce.0760633a@ac-normandie.fr";"76690";"Ecole élémentaire";"Seine-Maritime";"1101 Route De Cailly";"Public";"49.562447897705006";"1.2463962188409736"
"Criquetot-l'Esneval";"Elem";"ce.0760640h@ac-normandie.fr";"76280";"Ecole primaire";"Seine-Maritime";"Route De Turretot";"Public";"49.63098489995883";"0.2595270260236292"
