"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Tocane-Saint-Apre";"Elem";"ce.0240827u@ac-bordeaux.fr";"24350";"Ecole élémentaire";"Dordogne";"Rue Principale";"Public";"45.25412081153384";"0.4991176228868971"
"Douville";"Elem";"ce.0240850u@ac-bordeaux.fr";"24140";"Ecole primaire";"Dordogne";"Pont De Saint Mamet";"Public";"44.986793460263904";"0.594913241573485"
"Saint-Paul-de-Serre";"Elem";"ce.0240865k@ac-bordeaux.fr";"24380";"Ecole élémentaire";"Dordogne";"Bourg";"Public";"45.0870168949991";"0.6330830165158134"
"Saint-Médard-de-Mussidan";"Mater";"ce.0240878z@ac-bordeaux.fr";"24400";"Ecole maternelle";"Dordogne";"5 Rue Des Ecoles";"Public";"45.03540458535785";"0.33551561717460493"
"Couze-et-Saint-Front";"Elem";"ce.0240907f@ac-bordeaux.fr";"24150";"Ecole primaire";"Dordogne";"Bourg";"Public";"44.82884303014746";"0.7044284376480009"
"Les Eyzies";"Elem";"ce.0240909h@ac-bordeaux.fr";"24620";"Séverin Blanc";"Dordogne";"2 Place De La Mairie";"Public";"44.93618043341722";"1.0127233349102693"
"Montpon-Ménestérol";"Elem";"ce.0240911k@ac-bordeaux.fr";"24700";"Ecole primaire";"Dordogne";"Rue Paul Emile Victor, Menesterol";"Public";"45.01840821495012";"0.15319331632604485"
"Sanilhac";"Mater";"ce.0240952e@ac-bordeaux.fr";"24660";"Ecole maternelle Les Cébrades";"Dordogne";"Rue Beylot";"Public";"45.17724188651647";"0.7267653569861686"
"Sarlat-la-Canéda";"Elem";"ce.0240970z@ac-bordeaux.fr";"24200";"Ecole primaire Temniac";"Dordogne";"Hameau De Temniac";"Public";"44.911000374985164";"1.213375750870108"
"Mouleydier";"Elem";"ce.0240976f@ac-bordeaux.fr";"24520";"Ecole primaire";"Dordogne";"2 Place Des Ecoles";"Public";"44.855487049625";"0.5966992710178001"
"Prigonrieux";"Elem";"ce.0240977g@ac-bordeaux.fr";"24130";"Ecole élémentaire";"Dordogne";"Le Bourg";"Public";"44.855456671787316";"0.40248824357088103"
"Gardonne";"Elem";"ce.0241000g@ac-bordeaux.fr";"24680";"Ecole primaire";"Dordogne";"Le Bourg";"Public";"44.83752259923714";"0.32935583580998057"
"Coulounieix-Chamiers";"Mater";"ce.0241002j@ac-bordeaux.fr";"24660";"Ecole maternelle Louis Pergaud";"Dordogne";"Bourg Sud";"Public";"45.15747387642523";"0.6888697161746365"
"Terrasson-Lavilledieu";"Mater";"ce.0241005m@ac-bordeaux.fr";"24120";"Ecole maternelle Rive Gauche";"Dordogne";"11 Rue Gaston Sarnel";"Public";"45.127465371733";"1.3020372304940577"
"Antonne-et-Trigonant";"Elem";"ce.0241009s@ac-bordeaux.fr";"24420";"Ecole élémentaire";"Dordogne";"3 Place André Chastel";"Public";"45.21297156365478";"0.8313914145175592"
"Marsac-sur-l'Isle";"Mater";"ce.0241016z@ac-bordeaux.fr";"24430";"Ecole maternelle";"Dordogne";"10 Rue Des Ecoles";"Public";"45.18592024132129";"0.6340039094453253"
"Boulazac Isle Manoire";"Elem";"ce.0241276g@ac-bordeaux.fr";"24750";"ECOLE PRIMAIRE JOLIOT CURIE BOULAZAC";"Dordogne";"Rue John Kennedy, Boulazac";"Public";"45.184376458812075";"0.746015576646976"
"Périgueux";"Elem";"ce.0241288v@ac-bordeaux.fr";"24000";"ECOLE PRIMAIRE CLOS CHASSAING";"Dordogne";"74 Boulevard Ampère";"Public";"45.190470389529146";"0.7172940101872769"
"Périgueux";"Elem";"ce.0241353r@ac-bordeaux.fr";"24000";"ECOLE PRIMAIRE PUBLIQUE EMMA REYES";"Dordogne";"Rue De Saltgourde";"Public";"45.19550006370747";"0.6773563684567421"
