"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Laudun-l'Ardoise";"Mater";"ce.0300481k@ac-montpellier.fr";"30290";"Ecole maternelle Pauline Kergomard";"Gard";"60 Rue Albert André";"Public";"44.104101182062934";"4.654639923692436"
"Lussan";"Elem";"ce.0300499e@ac-montpellier.fr";"30580";"Ecole élémentaire";"Gard";"Place Jules Ferry, Lebourg";"Public";"44.15267035413537";"4.365371539329686"
"Le Martinet";"Elem";"ce.0300514w@ac-montpellier.fr";"30960";"Ecole élémentaire Emile et Marie-Jeanne Dussaut";"Gard";"55 Chemin De Gallière";"Public";"44.251844077867304";"4.085276611069885"
"Maruéjols-lès-Gardon";"Elem";"ce.0300516y@ac-montpellier.fr";"30350";"Ecole élémentaire";"Gard";"Rue Des Ecoles";"Public";"44.00525679413993";"4.129160171259927"
"Meynes";"Elem";"ce.0300522e@ac-montpellier.fr";"30840";"Ecole élémentaire";"Gard";"Rue Du 19 Mars";"Public";"43.88023315918825";"4.56079989267557"
"Molières-Cavaillac";"Elem";"ce.0300532r@ac-montpellier.fr";"30120";"Ecole élémentaire";"Gard";"Place De La Mairie";"Public";"43.97532030858563";"3.5767295612594983"
"Monoblet";"Elem";"ce.0300541a@ac-montpellier.fr";"30170";"Ecole primaire";"Gard";"Village";"Public";"43.99977841555739";"3.888450426403133"
"Moulézan";"Elem";"ce.0300558u@ac-montpellier.fr";"30350";"Ecole élémentaire";"Gard";"5 Chemin Des Lens";"Public";"43.9287444022171";"4.126332354843097"
"Nages-et-Solorgues";"Elem";"ce.0300562y@ac-montpellier.fr";"30114";"Ecole primaire";"Gard";"Chemin Des Aires";"Public";"43.79133111664063";"4.23103988753405"
"Nîmes";"Elem";"ce.0300576n@ac-montpellier.fr";"30000";"Ecole élémentaire Marie Soboul";"Gard";"1  Rue Des Benedictins";"Public";"43.840974654768715";"4.354350026366063"
"Nîmes";"Mater";"ce.0300607x@ac-montpellier.fr";"30900";"Ecole maternelle Edouard Vaillant 1";"Gard";"6 Rue Daumier";"Public";"43.82084971200669";"4.334070053859854"
"Val-d'Aigoual";"Mater";"ce.0300611b@ac-montpellier.fr";"30570";"Ecole maternelle Notre Dame de la Rouvière";"Gard";"Notre Dame De La Rouviere";"Public";"44.04640686346947";"3.692368268978719"
"Orsan";"Elem";"ce.0300613d@ac-montpellier.fr";"30200";"Ecole primaire";"Gard";"Place Des Ecoles";"Public";"44.131497706614404";"4.668820304973706"
"Pompignan";"Elem";"ce.0300622n@ac-montpellier.fr";"30170";"Ecole primaire";"Gard";"Place De La Mairie";"Public";"43.893550358737045";"3.85583971518228"
"Poulx";"Elem";"ce.0300632z@ac-montpellier.fr";"30320";"Ecole élémentaire Georges Brassens";"Gard";"Rue Du Vieux Moulin";"Public";"43.91105482977696";"4.418800062462933"
"Pouzilhac";"Elem";"ce.0300633a@ac-montpellier.fr";"30210";"Ecole primaire";"Gard";"Rue Des Ecoles";"Public";"44.04047867369253";"4.579889687341796"
"Quissac";"Mater";"ce.0300639g@ac-montpellier.fr";"30260";"Ecole maternelle Alice Brun";"Gard";"105 Promenade Auzilhon";"Public";"43.909234013025525";"4.002225007728743"
"Saint-Alexandre";"Elem";"ce.0300669p@ac-montpellier.fr";"30130";"Ecole primaire";"Gard";"Mas Cousit";"Public";"44.228376937091";"4.632040102332106"
"Saint-Bauzély";"Elem";"ce.0300685g@ac-montpellier.fr";"30730";"Ecole primaire";"Gard";"Avenue De La Liberté";"Public";"43.91932542446917";"4.197659697660559"
"Saint-Bénézet";"Elem";"ce.0300686h@ac-montpellier.fr";"30350";"Ecole élémentaire";"Gard";"3 Chemin De L'Euzière";"Public";"43.992092200210905";"4.137151580932383"
"Saint-Césaire-de-Gauzignan";"Elem";"ce.0300693r@ac-montpellier.fr";"30360";"Ecole primaire";"Gard";"Chemin Des Ecoliers";"Public";"44.02862462105321";"4.204985311486051"
"Saint-Christol-lez-Alès";"Mater";"ce.0300699x@ac-montpellier.fr";"30380";"Ecole maternelle Joliot-Curie";"Gard";"Avenue Du Château";"Public";"44.08430438180869";"4.0752775356611926"
"Saint-Etienne-des-Sorts";"Elem";"ce.0300708g@ac-montpellier.fr";"30200";"Ecole primaire";"Gard";"67 Rue Des Marronniers";"Public";"44.18589637510668";"4.706929421994985"
"Saint-Geniès-de-Comolas";"Elem";"ce.0300715p@ac-montpellier.fr";"30150";"Ecole élémentaire Edmond Faure";"Gard";"101 Route De Saint Laurent Des Arbres";"Public";"44.06259170971858";"4.721371215234538"
"Saint-Hilaire-d'Ozilhan";"Elem";"ce.0300730f@ac-montpellier.fr";"30210";"Ecole primaire";"Gard";"10 Avenue Paul Blisson";"Public";"43.97104804768153";"4.589219727761225"
"Saint-Jean-de-Serres";"Elem";"ce.0300739r@ac-montpellier.fr";"30350";"Ecole primaire";"Gard";"2 Place Des Cévennes";"Public";"43.99380480424337";"4.068810239001597"
"Saint-Jean-du-Gard";"Mater";"ce.0300745x@ac-montpellier.fr";"30270";"Ecole maternelle";"Gard";"Place Carnot";"Public";"44.10915357571645";"3.8901385754148086"
"Saint-Julien-de-Cassagnas";"Elem";"ce.0300748a@ac-montpellier.fr";"30500";"Ecole primaire la Vignasse";"Gard";"Vignasse";"Public";"44.21510034535948";"4.198710198573967"
"Nîmes";"Mater";"ce.0300760n@ac-montpellier.fr";"30900";"Ecole maternelle Charles Martel";"Gard";"19 Bis Rue De Générac";"Public";"43.829923385393016";"4.358020600265947"
"Nîmes";"Elem";"ce.0300765u@ac-montpellier.fr";"30000";"Ecole élémentaire La Placette";"Gard";"10 Rue De L'Hôtel Dieu";"Public";"43.83354420489476";"4.355199706001315"
"Nîmes";"Mater";"ce.0300772b@ac-montpellier.fr";"30000";"Ecole maternelle Marguerite Long";"Gard";"22 A Rue De Varsovie";"Public";"43.82853431397251";"4.370565381134"
"Nîmes";"Mater";"ce.0300783n@ac-montpellier.fr";"30000";"Ecole maternelle Prosper Mérimée";"Gard";"2 Rue Prosper Mérimée";"Public";"43.84752247660211";"4.36409993894745"
"Saint-Théodorit";"Mater";"ce.0300807p@ac-montpellier.fr";"30260";"Ecole maternelle";"Gard";"Rue De L'Eglise";"Public";"43.9417315903523";"4.081570259070954"
"Savignargues";"Elem";"ce.0300837x@ac-montpellier.fr";"30350";"Ecole élémentaire";"Gard";"Place De La Mairie";"Public";"43.96153068406614";"4.083590535736073"
"Thoiras-Corbès";"Elem";"ce.0300860x@ac-montpellier.fr";"30140";"Ecole primaire";"Gard";"Le Puech";"Public";"44.064426037926054";"3.926830266168207"
"Vallabrix";"Elem";"ce.0300875n@ac-montpellier.fr";"30700";"Ecole primaire Isabelle Autissier";"Gard";"Place De L'Hôtel De Ville";"Public";"44.06065842034143";"4.477369774179041"
"Valliguières";"Elem";"ce.0300882w@ac-montpellier.fr";"30210";"Ecole élémentaire";"Gard";"Lebourg";"Public";"44.006742441546216";"4.578709919695409"
"Vauvert";"Mater";"ce.0300885z@ac-montpellier.fr";"30600";"Ecole maternelle Lucette Abauzit";"Gard";"Passage Des Sévillanes";"Public";"43.688496125106994";"4.270460282340643"
"Saint-Paul-les-Fonts";"Elem";"ce.0300916h@ac-montpellier.fr";"30330";"Ecole primaire la Petite Garrigue";"Gard";"In-Pace Dis Pichouns, Impasse Des Pitchouns";"Public";"44.08621218522873";"4.611800626056563"
"Laudun-l'Ardoise";"Elem";"ce.0301025b@ac-montpellier.fr";"30290";"Ecole élémentaire Georges Lapierre";"Gard";"95 Rue Albert André";"Public";"44.104122119227554";"4.6552801960401196"
"Laudun-l'Ardoise";"Elem";"ce.0301026c@ac-montpellier.fr";"30290";"Ecole élémentaire Joseph Rollo";"Gard";"Rue Jean Vilar, L Ardoise";"Public";"44.09842620722238";"4.701764305311096"
"Nîmes";"Elem";"ce.0301033k@ac-montpellier.fr";"30000";"Ecole primaire Eau Bouillie";"Gard";"73 Bis Chemin Bois De Mittau";"Public";"43.85361791220922";"4.342156019859143"
