"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Nice";"Elem";"ecole.0062318m@ac-nice.fr";"06000";"Ecole primaire privée Montessori internationale";"Alpes-Maritimes";"6 Bd Prince De Galles";"Privé";"43.69794133241543";"7.264646051704335"
"Barcelonnette";"Elem";"ce.0040068c@ac-aix-marseille.fr";"04400";"ECOLE ELEMENTAIRE PUBLIQUE DES TROIS FRERES ARNAUD";"Alpes-de-Haute-Provence";"9 Avenue Des Trois Frères Arnaud";"Public";"44.386392157629395";"6.649400305677978"
"Roquevaire";"Elem";"ce.0131095v@ac-aix-marseille.fr";"13360";"Ecole primaire L'Estellan";"Bouches-du-Rhône";"18 Route Du Val De Riou, Pont De L'Etoile";"Public";"43.32844702010774";"5.598321414060623"
"Marseille 15e  Arrondissement";"Elem";"ce.0134545v@ac-aix-marseille.fr";"13015";"Ecole primaire publique Les Fabriques";"Bouches-du-Rhône";"2 Rue Pascal Posado";"Public";"43.3254120713746";"5.365163866993996"
"Jonquières";"Elem";"ce.0840558a@ac-aix-marseille.fr";"84150";"Ecole élémentaire privée de Causans";"Vaucluse";"Hameau De Causans";"Privé";"44.11979889457414";"4.9094794184107124"
"Aix-en-Provence";"Elem";"ce.0130262p@ac-aix-marseille.fr";"13100";"Ecole élémentaire  Jean Jaurès 2";"Bouches-du-Rhône";"Rue Des Nations";"Public";"43.53341943430368";"5.444259541003738"
"Aix-en-Provence";"Mater";"ce.0130289u@ac-aix-marseille.fr";"13100";"Ecole maternelle Sextius";"Bouches-du-Rhône";"34 Cours Sextius";"Public";"43.52879242508281";"5.44355044600843"
"Allauch";"Elem";"ce.0130293y@ac-aix-marseille.fr";"13190";"Ecole élémentaire Logis Neuf";"Bouches-du-Rhône";"Avenue Lei Rima";"Public";"43.356925104370646";"5.487299620081885"
"Arles";"Elem";"ce.0130306m@ac-aix-marseille.fr";"13104";"Ecole primaire Marinette Carletti";"Bouches-du-Rhône";"Mas Thibert";"Public";"43.55749132426776";"4.728039764698948"
"Arles";"Elem";"ce.0130307n@ac-aix-marseille.fr";"13200";"Ecole élémentaire Montplaisir";"Bouches-du-Rhône";"1 Rue Irene Joliot Curie";"Public";"43.685010695239825";"4.638970294879089"
"Arles";"Mater";"ce.0130338x@ac-aix-marseille.fr";"13200";"Ecole maternelle du Cloître";"Bouches-du-Rhône";"30 Rue Du Cloître";"Public";"43.676087486896094";"4.6283994663915236"
"Aubagne";"Mater";"ce.0130360w@ac-aix-marseille.fr";"13400";"Ecole maternelle Gaimard";"Bouches-du-Rhône";"Rue Lieutenant Flandi";"Public";"43.291938464621076";"5.573170589298346"
"Berre-l'Etang";"Elem";"ce.0130374l@ac-aix-marseille.fr";"13130";"Ecole primaire Emile Zola";"Bouches-du-Rhône";"Avenue De Sylvanes";"Public";"43.487682154024576";"5.160509410989014"
"Berre-l'Etang";"Mater";"ce.0130379s@ac-aix-marseille.fr";"13130";"Ecole maternelle Irène Joliot-Curie";"Bouches-du-Rhône";"Quartier Cabrianne";"Public";"43.48187966402465";"5.176080238060797"
"Berre-l'Etang";"Mater";"ce.0130380t@ac-aix-marseille.fr";"13130";"Ecole maternelle Paul Langevin";"Bouches-du-Rhône";"Avenue Fernand Léger";"Public";"43.48847007270047";"5.172920411764878"
"Bouc-Bel-Air";"Elem";"ce.0130382v@ac-aix-marseille.fr";"13320";"Ecole élémentaire Centre";"Bouches-du-Rhône";"Route De Gardanne";"Public";"43.452886473122106";"5.4180402122760025"
"Bouc-Bel-Air";"Elem";"ce.0130383w@ac-aix-marseille.fr";"13320";"ECOLE ELEMENTAIRE VIRGINIE DEDIEU";"Bouches-du-Rhône";"Chemin De La Tranhumance";"Public";"43.439159436678764";"5.409629440620441"
"Arles";"Mater";"ce.0132448r@ac-aix-marseille.fr";"13200";"Ecole maternelle Les Bartavelles";"Bouches-du-Rhône";"Quartier Barriol";"Public";"43.667997927505425";"4.617870367687001"
"Martigues";"Mater";"ce.0132457a@ac-aix-marseille.fr";"13500";"Ecole maternelle Lucien Toulmond 1";"Bouches-du-Rhône";"Rue Fernand Léger, Quartier Paradis St Roch";"Public";"43.40707040467566";"5.0425598125118105"
"Arles";"Elem";"ce.0132474u@ac-aix-marseille.fr";"13200";"Ecole élémentaire Paul Langevin";"Bouches-du-Rhône";"Quartier Barriol";"Public";"43.66828718611007";"4.618390584104825"
"Miramas";"Mater";"ce.0132479z@ac-aix-marseille.fr";"13140";"Ecole maternelle Jean Giono";"Bouches-du-Rhône";"Avenue Du Ponant";"Public";"43.59377028544315";"5.008340245860452"
"Miramas";"Elem";"ce.0132486g@ac-aix-marseille.fr";"13140";"Ecole élémentaire Jean Giono";"Bouches-du-Rhône";"Avenue Du Ponant";"Public";"43.59397980310334";"5.008740141929274"
"Marseille 15e  Arrondissement";"Mater";"ce.0132498v@ac-aix-marseille.fr";"13015";"Ecole maternelle Solidarité 2";"Bouches-du-Rhône";"54 Route Vallon Dol";"Public";"43.38818281499693";"5.372584113047815"
"Marseille 12e  Arrondissement";"Mater";"ce.0132504b@ac-aix-marseille.fr";"13012";"Ecole maternelle Les Trois Lucs";"Bouches-du-Rhône";"373 Avenue Des Poilus";"Public";"43.3155067982816";"5.461599982298127"
