"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Saint-Paterne - Le Chevain";"Elem";"ce.0720114h@ac-nantes.fr";"72610";"Ecole primaire publique Le chat perché";"Sarthe";"Place Du Château, Le Chevain";"Public";"48.43308534601122";"0.12558910944690968"
"Connerré";"Mater";"ce.0720127x@ac-nantes.fr";"72160";"Ecole maternelle publique St Exupéry";"Sarthe";"Rue Du Sergent Mantier";"Public";"48.05898332711182";"0.49359434921968914"
"Montreuil-le-Henri";"Elem";"ce.0720294d@ac-nantes.fr";"72150";"Ecole élémentaire publique";"Sarthe";"Rue De Lucé";"Public";"47.86754846254855";"0.5641864404222371"
"Tuffé Val de la Chéronne";"Elem";"ce.0720354u@ac-nantes.fr";"72160";"Ecole primaire publique Fernand Loriot";"Sarthe";"1 Chemin Des Écoliers, Tuffe";"Public";"48.11208093187337";"0.5198004544541713"
"Vallon-sur-Gée";"Mater";"ce.0720359z@ac-nantes.fr";"72540";"Ecole maternelle publique";"Sarthe";"3 Route Chanoine Pineau";"Public";"47.96475697239839";"-0.06467658886273758"
"Vancé";"Elem";"ce.0720361b@ac-nantes.fr";"72310";"Ecole primaire publique Marcel Pagnol";"Sarthe";"13 Rue Des Ecoles";"Public";"47.83125482618155";"0.6460179854605727"
"Yvré-le-Pôlin";"Elem";"ce.0720389g@ac-nantes.fr";"72330";"Ecole primaire publique Marie-Louise Gendron-Aine";"Sarthe";"Place Des Ecoles";"Public";"47.8196326956247";"0.1542454161337168"
"La Ferté-Bernard";"Elem";"ce.0720393l@ac-nantes.fr";"72400";"Ecole élémentaire publique Ledru Rollin";"Sarthe";"4 Rue Jules Ferry";"Public";"48.18491497749562";"0.6598602445278119"
"La Ferté-Bernard";"Mater";"ce.0720395n@ac-nantes.fr";"72400";"Ecole maternelle publique Paul Klee";"Sarthe";"14 Rue D'Huisne";"Public";"48.1864791377048";"0.6516815281815534"
"Lamnay";"Elem";"ce.0720440m@ac-nantes.fr";"72320";"Ecole primaire publique Georges Vallée";"Sarthe";"Route De Saint-Jean-Des-Echelles";"Public";"48.11952868752895";"0.7089023579186221"
"Louplande";"Elem";"ce.0720460j@ac-nantes.fr";"72210";"Ecole primaire publique Mozart";"Sarthe";"8 Route De Souligne Flace";"Public";"47.944569098835146";"0.0418501028506053"
"Coulaines";"Elem";"ce.0720488p@ac-nantes.fr";"72190";"Ecole primaire d'application Molière";"Sarthe";"3 Rue Molière";"Public";"48.02153402220216";"0.20266238759070293"
"Arçonnay";"Elem";"ce.0720500c@ac-nantes.fr";"72610";"Ecole primaire publique";"Sarthe";"4 Rue Du Moulin À Vent";"Public";"48.39711544958151";"0.08809753685002411"
"La Bazoge";"Elem";"ce.0720528h@ac-nantes.fr";"72650";"Ecole élémentaire publique Jean Monnet";"Sarthe";"22 Rue Des Hortensias";"Public";"48.09686260742604";"0.1482507363769259"
"Allonnes";"Elem";"ce.0720539v@ac-nantes.fr";"72700";"Ecole élémentaire publique Victor Hugo";"Sarthe";"16 Rue Georges Bizet";"Public";"47.97046835438629";"0.1635666071015298"
"La Bruère-sur-Loir";"Mater";"ce.0720572f@ac-nantes.fr";"72500";"Ecole maternelle publique Jacques Jourdan";"Sarthe";"5 Rue Principale";"Public";"47.651047936750565";"0.34971712707621005"
