"commune";"type_ecole";"mail";"code_postal";"nom_etablissement";"departement";"adresse";"statut";"latitude";"longitude"
"Nuku-hiva";"Elem";"direco@esj.ddec.pf";"98742";"Ecole primaire privée Saint Joseph";"Polynésie Française";"Ile Taiohae, Nuku Hiva / Bp 20";"Privé";"";""
"Papeete";"Elem";"direco@farii.ddec.pf";"98714";"ECOLE SAINT JEAN-BAPTISTE DE PUTIAORO-FARIIMATA";"Polynésie Française";", Bp 9020";"Privé";"";""
"Maré";"Elem";"h-angexetine@loyalty.nc";"98828";"Ecole primaire de Atha";"Nouvelle Calédonie";"Rue Atha";"Public";"-21.474313047123488";"168.01509034264487"
"Maré";"Elem";"d-nyikeine@loyalty.nc";"98828";"Ecole élémentaire de Hnawayatch";"Nouvelle Calédonie";"Route Hnawayatch";"Public";"-21.443090007053954";"167.86137262450097"
"Maré";"Elem";"n-gawe@loyalty.nc";"98828";"Ecole élémentaire de Mebuet";"Nouvelle Calédonie";"Route Mebuet";"Public";"-21.512059387918374";"167.84821461673383"
"Koumac";"Elem";"kayole@live.fr";"98850";"Ecole primaire privée de Wanap";"Nouvelle Calédonie";"Route De Wanap";"Privé";"-20.562426558594417";"164.26802560677834"
"Saint-Martin";"Elem";"ce.9710567p@ac-guadeloupe.fr";"97150";"Ecole élémentaire Elie Gibs";"Saint-Martin";"Rue Des Ecoles - Grand-Case";"Public";"18.100248448322006";"-63.05606002998476"
"Saint pierre";"Elem";"ce.9750006h@ac-normandie.fr";"97500";"Ecole élémentaire publique feu rouge";"St-Pierre-et-Miquelon";"Rue Du Feu Rouge, St Pierre / Bp 4234";"Public";"46.782921583538396";"-56.17581679736716"
"Nouméa";"Elem";"direcole.russier@province-sud.nc";"98800";"Ecole élémentaire Suzanne Russier";"Nouvelle Calédonie";"45  Rue Olry, Vallee Du Genie";"Public";"-22.269688647261752";"166.44667378909676"
"Kone";"Mater";"jp.simebuet@province-nord.nc";"98860";"Ecole maternelle de Noelly";"Nouvelle Calédonie";"Lieu-Dit Noelly";"Public";"-21.004838771418076";"164.94751017580043"
"Bourail";"Elem";"ce.9830090f@ac-noumea.nc";"98870";"Ecole élémentaire Louise Michel";"Nouvelle Calédonie";"74 Rue Antoine Griscelli, Bourail / Bp 106";"Public";"-21.57005675289915";"165.4968690390036"
"Kaala-gomen";"Elem";"ecole.bwapanu@province-nord.nc";"98817";"Ecole primaire de Kaala-Gomen";"Nouvelle Calédonie";"117 Rue Des Flamboyants, Bp 172";"Public";"-20.667159280890484";"164.3981927821624"
"Poindimie";"Elem";"l.denodrest@province-nord.nc";"98822";"Ecole élémentaire de Poindimié";"Nouvelle Calédonie";"Lieu-Dit Poindimie, Bp 36";"Public";"-20.936759202231553";"165.3411557598041"
"Poya";"Elem";"h.prevot@province-nord.nc";"98827";"Ecole primaire Marcel Carlier";"Nouvelle Calédonie";"Village De Poya";"Public";"-21.34560432623541";"165.15778486042385"
"Nouméa";"Mater";"direcole.petunias@province-sud.nc";"98800";"Ecole maternelle Les pétunias";"Nouvelle Calédonie";"3  Rue Fernande Leriche, Vallee Du Genie";"Public";"-22.27012356778488";"166.44613176961485"
"Poya";"Elem";"ecole.antoinegriscelli@province-nord.nc";"98877";"Ecole primaire Antoine Griscelli";"Nouvelle Calédonie";"Népoui Village, Népoui Village / Bp 01";"Public";"-21.324062076122694";"164.9977847200281"
"Lifou";"Elem";"a-hnamano@loyalty.nc";"98820";"Ecole primaire de Hmeleck";"Nouvelle Calédonie";"Tribu De Hmelek";"Public";"-21.04289429555795";"167.28185897422767"
"Lifou";"Mater";"v-padilla@loyalty.nc";"98820";"Ecole maternelle de Kirinata";"Nouvelle Calédonie";"Route Kirinata, Kirinata / Bp 175";"Public";"-20.814307382695027";"167.2474324262093"
"Lifou";"Elem";"e-waimo@loyalty.nc";"98820";"Ecole primaire de Luecilla";"Nouvelle Calédonie";"Luecilla, Luecilla / Bp 515";"Public";"-20.901796147942065";"167.25629807148752"
"Ouegoa";"Elem";"w.feltrin@province-nord.nc";"98821";"Ecole primaire de Paimboas";"Nouvelle Calédonie";"Route Paimboas Ouenia";"Public";"-20.52036075515885";"164.52200653455657"
"La foa";"Mater";"direcole.mat-begonias@province-sud.nc";"98880";"Ecole maternelle Les Bégonias";"Nouvelle Calédonie";"Rue Laure Fiori";"Public";"-21.711282220462344";"165.833374666785"
"Nouméa";"Elem";"direcole.lomont@province-sud.nc";"98800";"Ecole primaire Adrienne Lomont";"Nouvelle Calédonie";"10 Bis Rue Du Marechal Lyautey, Normandie / Bp 1731";"Public";"-22.220655243289126";"166.48416694599572"
"Nouméa";"Mater";"direcole.mat-pensees@province-sud.nc";"98800";"Ecole maternelle Les Pensées";"Nouvelle Calédonie";"2  Impasse Les Pensees, Magenta";"Public";"-22.273308198569993";"166.46725521016646"
"Lifou";"Mater";"ecole.traput@lagoon.nc";"98820";"Ecole maternelle de Hmeleck";"Nouvelle Calédonie";"Route Hmeleck";"Public";"-21.042921614799393";"167.28183034713837"
"Dumbea";"Mater";"direction.colibris@canl.nc";"98835";"Ecole maternelle Les Colibris";"Nouvelle Calédonie";"65 Rue De L'Entree Lot Poncet, Katiramona / Bp 81";"Public";"-22.13947102304219";"166.43604716912444"
"Nouméa";"Elem";"direcole.perraud@province-sud.nc";"98803";"Ecole élémentaire Albert Perraud";"Nouvelle Calédonie";"11  Rue De Tiga, Magenta / Bp 14372";"Public";"-22.261909567445525";"166.46786865553415"
"Mont-dore";"Mater";"direcole.mat-coccinelles@province-sud.nc";"98810";"Ecole maternelle les Coccinelles";"Nouvelle Calédonie";"2299 Route Du Vallon Dore, La Coulee / Bp 283";"Public";"-22.25028650092108";"166.56757192248443"
"Dumbea";"Mater";"direcole.niaoulis@province-sud.nc";"98835";"Ecole maternelle Les Niaoulis";"Nouvelle Calédonie";"Avenue Frederic Chopin, Koutio / Bp 614";"Public";"-22.20323450329975";"166.4682134763493"
"Nouméa";"Elem";"direcole.amiot@province-sud.nc";"98800";"Ecole primaire Michel Amiot";"Nouvelle Calédonie";"12  Rue Prony, Magenta / Bp 11087";"Public";"-22.26820293248947";"166.4682769976472"
"Voh";"Mater";"m.anso@province-nord.nc";"98833";"Ecole maternelle Pwodawhuup";"Nouvelle Calédonie";"Village De Voh, Bp 203";"Public";"-20.954444415434004";"164.69498825692625"
"Saint-Martin";"Elem";"ce.9711049n@ac-guadeloupe.fr";"97150";"Ecole primaire Hervé Williams";"Saint-Martin";"Route De Spring, Concordia";"Public";"18.067744894866664";"-63.072360089575234"
"Saint-Martin";"Elem";"ce.9711096p@ac-guadeloupe.fr";"97150";"Ecole primaire Clair SAINT-MAXIMIN";"Saint-Martin";"Rue Des Belles Orientales, Quartier D'Orléans";"Public";"18.067523867079306";"-63.03512965940477"
"Saint-Martin";"Mater";"ce.9711196y@ac-guadeloupe.fr";"97150";"Ecole maternelle Jean ANSELME";"Saint-Martin";"Rue Corossol, Quartiers D'Orléans";"Public";"18.065466728807007";"-63.03489962283524"
"Dumbea";"Elem";"direcole.mat-fong@province-sud.nc";"98835";"Ecole maternelle Renée Fong";"Nouvelle Calédonie";"2 B Allee Jean-Louis Marie, Plaine Adam";"Public";"-22.192309026341903";"166.44417683464098"
