"nom_lieu";"raison_sociale";"statut";"type_declarant";"code_postal";"departement";"region";"code_naf";"numero";"date_validite";"latitude";"longitude"
"dikkenek café / clsdikk";"CLSDIKK";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"69004";"Rhône";"Auvergne-Rhône-Alpes";"56.30Z";"1-000028";"2025-06-06";"45.78978927532068";"4.819006005165525"
"Le Sabot d'Or";"COMMUNE DE SAINT GILLES";"Invalidé";"un organisme public ou mixte";"35590";"Ille-et-Vilaine";"Bretagne";"84.11Z";"1-PLATESV-R-2020-005424";"";"48.13851968209056";"-1.821864430768027"
"La Bascule";"CC DOMES SANCY ARTENSE";"Valide";"un organisme public ou mixte";"63690";"Puy-de-Dôme";"Auvergne-Rhône-Alpes";"84.11Z";"PLATESV-R-2020-003524";"2025-06-20";"45.64548613404617";"2.87869150840139"
"Bistrot La Moussette";"POMMIER";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"50590";"Manche";"Normandie";"56.30Z";"1-000040";"2025-06-04";"48.99785415332976";"-1.557741032647933"
"LE PHENIX";"LE PHENIX SCENE NATIONALE VALENCIENNES METROPOLE";"Valide";"un organisme public ou mixte";"59300";"Nord";"Hauts-de-France";"70.10Z";"1-000043";"2025-05-29";"50.354439299290554";"3.481940217843035"
"Le Neo";"LE NEO";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"84800";"Vaucluse";"Provence-Alpes-Côte d'Azur";"56.30Z";"1-000059";"2025-07-13";"43.874302623693";"5.083068118697073"
"BARRACUDA";"JOUFFROY D'ABBANS";"Invalide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"83170";"Var";"Provence-Alpes-Côte d'Azur";"70.10Z";"1-000060";"";"43.44262025104133";"6.191180147530264"
"Centre Culturel Jacques Prévert";"COMMUNE D AIXE SUR VIENNE";"Valide";"un organisme public ou mixte";"87700";"Haute-Vienne";"Nouvelle-Aquitaine";"84.11Z";"PLATESV-R-2020-006491";"2025-05-29";"45.78270428354508";"1.190413944784998"
"Espace Culturel Le Poulpe";"COMMUNE DE PLESCOP";"Valide";"un organisme public ou mixte";"56890";"Morbihan";"Bretagne";"84.11Z";"1-000073";"2025-05-30";"47.72744260864324";"-2.754096776612012"
"Le Bal à Aude";"MUSIC'AL SOL";"Valide";"une association de loi 1901 ou 1908";"11800";"Aude";"Occitanie";"90.01Z";"1-000074";"2025-06-01";"43.313663840057565";"2.431126565681421"
"BYBLOS BEACH";"BYBLOS BEACH";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"83350";"Var";"Provence-Alpes-Côte d'Azur";"56.10A";"1-000079";"2025-05-30";"43.258355323270095";"6.703687924873202"
"Hot Club de Lyon";"HOT CLUB DE LYON CLUB DE JAZZ";"Invalide";"une association de loi 1901 ou 1908";"69001";"Rhône";"Auvergne-Rhône-Alpes";"90.01Z";"PLATESV-D-2020-002353";"";"45.76626798822045";"4.839757825182551"
"Piscine Pierre et marie Curie";"FIAT LUX";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"68200";"Haut-Rhin";"Grand-Est";"90.01Z";"1-000094";"2025-05-31";"47.66086140246042";"7.384370923815062"
"Micro-folie de Taverny";"COMMUNE DE TAVERNY";"Valide";"un organisme public ou mixte";"95150";"Val-d'Oise";"Île-de-France";"84.11Z";"1-000117";"2025-06-01";"49.01179640488736";"2.223896180199549"
"Théâtre Luc Donat";"ASSOCIATION GESTION THEATRE DU TAMPON";"Valide";"une association de loi 1901 ou 1908";"97430";"La Réunion";"La Réunion";"90.04Z";"PLATESV-R-2020-003117";"2025-06-01";"-21.29991298395292";"55.51667782216619"
"LE PIN GALANT";"SNC LE PIN GALANT";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"33700";"Paris";"Île-de-France";"90.04Z";"1-000126";"2025-06-05";"48.86360830499074";"2.310390240755495"
"sos buzancy";"SOC OMNISPORTS";"Valide";"une association de loi 1901 ou 1908";"08240";"Ardennes";"Grand-Est";"93.12Z";"1-000177";"2025-06-12";"49.48281094801939";"4.965153442053571"
"HALLE DE MARTIGUES";"JLT DANCE COMPAGNY";"Invalide";"une association de loi 1901 ou 1908";"13117";"Bouches-du-Rhône";"Provence-Alpes-Côte d'Azur";"90.01Z";"1-000178";"";"43.62210844888057";"5.129978978848148"
"AFTER BEACH";"AFTER BEACH";"Invalide";"";"83310";"Var";"Provence-Alpes-Côte d'Azur";"56.10A";"1-000191";"";"43.17204947344919";"6.452086562381315"
"Cirque de la Guirlande";"DE LA GUIRLANDE";"Valide";"une association de loi 1901 ou 1908";"26130";"Drôme";"Auvergne-Rhône-Alpes";"90.01Z";"1-000197";"2025-07-12";"44.332749564418066";"4.823773091005114"
"THEATRE CHRISTIAN LIGER - CENTRE PABLO NERUDA";"COMMUNE DE NIMES";"Valide";"un organisme public ou mixte";"30000";"Gard";"Occitanie";"84.11Z";"PLATESV-R-2020-005916";"2025-06-19";"43.85699727651694";"4.23970505248995"
"ARENES DE NÎMES";"COMMUNE DE NIMES";"Valide";"un organisme public ou mixte";"30000";"Gard";"Occitanie";"84.11Z";"PLATESV-R-2020-005920";"2025-06-19";"43.85699727651694";"4.23970505248995"
"Anaiak Sables d'Or";"SURF LEGEND";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"64600";"Pyrénées-Atlantiques";"Nouvelle-Aquitaine";"56.10C";"1-000206";"2025-06-06";"43.48838625267919";"-1.497756927770707"
"L'Humoristik";"LA GIRAFE QUI SE PEIGNE";"Invalide";"une association de loi 1901 ou 1908";"26200";"Rhône";"Auvergne-Rhône-Alpes";"94.99Z";"1-000213";"";"45.76626798822045";"4.839757825182551"
"Le Cube";"COMMUNE DE LONGUE-JUMELLES";"Valide";"un organisme public ou mixte";"49160";"Maine-et-Loire";"Pays-de-la-Loire";"84.11Z";"1-000220";"2025-06-05";"47.37159765909063";"-0.00631162844517"
"Pingpong";"PINGPONG COWORK";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"12100";"Aveyron";"Occitanie";"68.20B";"1-000233";"2025-06-06";"44.10860334957689";"3.324164627379593"
"La Cahuette";"LA CAHUETTE";"Valide";"une autre personne morale de droit privé (SA, SARL, EURL, etc.)";"22630";"Côtes d'Armor";"Bretagne";"56.10C";"1-000236";"2025-06-06";"48.35686206497657";"-2.021194085427112"
"Guinguette L'Éphémère";"MON P'TIT CAMION";"Valide";"une association de loi 1901 ou 1908";"29800";"Ille-et-Vilaine";"Bretagne";"94.99Z";"1-000237";"2025-06-06";"48.1313338944494";"-1.7398665480806"
